,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Абсент,0.0,0.0,8.8,171
1,,Бренди,0.0,0.0,0.5,225
2,,Бурбон,0.0,0.0,0.4,235
3,,Вермут,0.0,0.0,15.9,158
4,,Вермут Cinzano Bianco белый,0.0,0.0,18.0,155
5,,Вермут Cinzano Rose розовый,0.0,0.0,14.5,141
6,,Вермут Martini,0.0,0.0,17.0,145
7,,Вермут Martini Bianco белый,0.0,0.0,17.0,145
8,,Вермут Martini Extra Dry сухой,0.0,0.0,2.5,110
9,,Вермут Martini Rose розовый,0.0,0.0,16.0,140
10,,Вермут Martini Rosso красный,0.0,0.0,15.0,138
11,,Вермут Perlino Bianco белый,0.0,0.0,14.0,139
12,,Вермут Perlino Rosso красный,0.0,0.0,14.0,139
13,,Вино Asti Mondoro белое полусладкое игристое,0.0,0.0,9.0,78
14,,Вино Riunite D'Oro белое полусладкое игристое,0.0,0.0,6.0,69
15,,Вино Riunite Lambrusco Emilia красное полусладкое игристое,0.0,0.0,6.0,69
16,,Вино Riunite Lambrusco Rose розовое полусладкое игристое,0.0,0.0,6.0,69
17,,Вино белое десертное 16%,0.5,0.0,16.0,153
18,,Вино белое Мускат,0.0,0.0,5.0,82
19,,Вино белое Рислинг,0.0,0.0,4.0,80
20,,Вино белое Совиньон,0.0,0.0,2.0,81
21,,Вино белое столовое 11%,0.2,0.0,0.2,65
22,,Вино белое сухое,0.1,0.0,0.6,66
23,,Вино белое Херес,0.0,0.0,3.0,126
24,,Вино красное Божоле Нуво,2.5,0.0,0.0,95
25,,Вино красное Бургундское,0.0,0.0,4.0,86
26,,Вино красное десертное,0.5,0.0,20.0,172
27,,Вино красное Кагор,0.0,0.0,16.0,147
28,,Вино красное Киндзмараули,0.5,0.0,20.0,172
29,,Вино красное Кьянти,0.1,0.0,2.7,84
30,,Вино красное столовое 12%,0.3,0.0,0.2,71
31,,Вино красное сухое,0.2,0.0,0.3,68
32,,Вино красное Хванчкара,0.1,0.0,3.0,83
33,,Вино медовое,0.0,0.0,21.3,71
34,,Виски,0.0,0.0,0.4,235
35,,Водка,0.0,0.0,0.1,235
36,,Водка анисовая,0.1,0.1,0.5,225
37,,Глинтвейн August Weinxof,0.0,0.0,7.5,85
38,,Глинтвейн St Lorenz,0.0,0.0,8.0,80
39,,Грог,0.0,0.0,0.0,220
40,,Джин,0.0,0.0,0.0,220
41,,Джин-тоник,0.0,0.0,6.7,78
42,,Коктейль Кровавая Мэри,0.8,0.3,4.8,60
43,,Коктейль Мохито,0.0,0.0,17.0,74
44,,Коктейль Пина Колада,0.4,1.8,22.4,174
45,,Коктейль Эгг-ног,5.5,0.1,0.4,27
46,,Коньяк,0.0,0.0,0.1,239
47,,Ликёр Amaretto,0.0,0.0,35.0,280
48,,Ликёр Amarula,3.0,13.0,25.0,327
49,,Ликёр Baileys,3.0,13.0,25.0,327
50,,Ликёр Becherovka,0.0,0.0,6.4,248
51,,Ликёр Blue Curacao,0.0,0.0,46.0,236
52,,Ликёр Brogans,2.7,7.3,32.7,241
53,,Ликёр Campari,0.0,0.0,12.0,112
54,,Ликёр Cointreau,0.0,0.0,20.0,197
55,,Ликёр Don Amaretto Milano,0.0,0.0,35.0,280
56,,Ликёр Drambuie,0.0,0.0,40.0,299
57,,Ликёр Frangelico,0.0,0.7,19.0,63
58,,Ликёр Galliano,0.0,0.0,6.4,248
59,,Ликер Grand Marnier,0.0,0.0,20.0,197
60,,Ликёр Irish Mist,0.0,0.0,6.4,248
61,,Ликёр Jagermeister,0.0,0.0,13.2,246
62,,Ликёр Kahlua,0.6,0.7,41.7,291
63,,Ликёр Limoncello,0.0,0.0,30.0,325
64,,Ликёр Malibu,0.0,0.0,20.0,197
65,,Ликёр Maraschino,0.0,0.0,40.0,299
66,,Ликёр Midori,0.0,0.0,39.0,140
67,,Ликёр Mozart,1.2,7.8,34.0,332
68,,Ликёр Sambuca,0.0,0.0,40.0,240
69,,Ликёр Sheridans,1.4,7.0,39.0,315
70,,Ликёр Southern Comfort,0.0,0.0,31.0,112
71,,Ликёр Vana Tallinn,0.0,0.0,39.0,140
72,,Ликёр Wild Africa,2.7,7.3,32.6,241
73,,Ликёр Xuxu,0.0,0.0,29.0,166
74,,Мятная настойка,0.0,0.0,6.4,250
75,,Пиво Asahi Super Dry,0.0,0.0,3.1,41
76,,Пиво BagBier,0.0,0.0,4.6,42
77,,Пиво Bavaria Premium Pilsener,0.0,0.0,3.8,42
78,,Пиво Bernard Černe,0.0,0.0,4.7,48
79,,Пиво Budweiser Budvar Original,0.0,0.0,3.0,44
