,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Рагу Gerber из кролика со шпинатом,3.3,2.8,7.7,72
1,,Рагу Gerber из телятины с тыквой и морковью,3.0,2.2,5.7,60
2,,Рисовая каша Nestle безмолочная,6.5,1.0,86.5,381
3,,Рисовая каша Nestle молочная с бананом,12.0,10.0,70.9,422
4,,Рисовая каша Nestle молочная с яблоком,12.0,10.0,70.9,422
5,,Рисовая каша Малютка молочная с курагой,12.2,15.2,65.5,448
6,,Рисовая каша Малютка молочная с соком персика,13.0,10.0,70.0,422
7,,Рисовая каша ФрутоНяня безмолочная с яблоком и абрикосом,0.5,0.0,13.0,54
8,,Рисовая кашка Heinz абрикос чернослив молочная,13.0,11.1,68.0,422
9,,Рисовая кашка Heinz низкоаллергенная без молока,7.9,0.6,85.0,377
10,,Рисовая кашка ФрутоНяня молочная жидкая,2.1,2.0,10.6,68
11,,Смесь Nan Pre,14.5,26.0,53.6,501
12,,Смесь Nan безлактозный,10.8,25.0,58.6,503
13,,Смесь Nan-1,9.6,27.7,57.8,519
14,,Смесь Nan-1 гипоаллергенный,9.7,26.0,59.9,513
15,,Смесь Nan-1 кисломолочный,10.4,27.7,57.0,519
16,,Смесь Nan-2,10.8,21.5,60.8,480
17,,Смесь Nan-2 гипоаллергенный,11.1,22.7,61.3,494
18,,Смесь Nan-2 кисломолочный,11.2,23.7,59.4,496
19,,Смесь Neocate Advance сухая,10.0,14.5,58.5,400
20,,Смесь Neocate LCP сухая,13.0,24.5,52.5,483
21,,Смесь Nestogen-1 сухая адаптированная молочная с пребиотиками,10.5,26.0,55.7,499
22,,Смесь Nestogen-2 сухая адаптированная молочная с пребиотиками,11.8,21.5,58.0,472
23,,Смесь NutriniDrink Multi Fibre с нейтральным вкусом,3.4,6.8,18.8,153
24,,Смесь NutriniDrink Multi Fibre со вкусом банана,3.3,6.8,18.8,153
25,,Смесь NutriniDrink Multi Fibre со вкусом клубники,3.3,6.8,18.8,153
26,,Смесь NutriniDrink Multi Fibre со вкусом шоколада,3.3,6.8,18.8,153
27,,Смесь Pepticate сухая,14.0,27.3,53.4,515
28,,Смесь Агуша Gold-1 молочная,11.0,28.0,56.0,520
29,,Смесь Агуша Gold-2 молочная,12.4,22.5,60.0,490
30,,Смесь Агуша Original-1 молочная,10.8,26.4,60.1,510
31,,Смесь Агуша Original-2 молочная,11.8,22.5,60.1,490
32,,Смесь Агуша-1 кисломолочная адаптированная жидкая,1.4,3.5,7.2,66
33,,Смесь Агуша-1 молочная стерилизованная жидкая,1.4,3.4,7.4,66
34,,Смесь Агуша-2 кисломолочная последующая адаптированная жидкая,1.8,3.4,9.0,70
35,,Смесь Агуша-2 молочная стерилизованная жидкая,1.6,3.1,8.3,67
36,,Сок Бабушкино Лукошко Яблоко Брусника,0.0,0.0,10.0,40
37,,Сок Бабушкино Лукошко Яблоко Ежевика,0.0,0.0,10.8,43
38,,Сок Бабушкино Лукошко Яблоко Черника,0.0,0.0,10.8,43
39,,Сок Сады Придонья Яблоко-Шиповник,0.0,0.0,11.5,46
40,,Сок Сады Придонья Яблочно-виноградный,0.0,0.0,11.5,46
41,,Сок Сады Придонья Яблочно-персиковый с мякотью,0.0,0.0,11.5,50
42,,Сок Сады Придонья Яблочный из зелёных яблок,0.0,0.0,11.5,46
43,,Сок ФрутоНяня из яблок и абрикосов с мякотью,0.0,0.0,12.0,48
44,,Супчик Heinz овощной с курочкой,13.0,11.0,61.0,393
45,,Творог Агуша Абрикос и Морковь 3.9%,7.3,3.9,10.2,105
46,,Творог Агуша Классический 4.5%,8.5,4.5,3.5,89
47,,Творог Агуша Черника 3.9%,7.3,3.9,10.2,105
48,,Творог Агуша Яблоко и Банан 3.9%,7.3,3.9,10.2,105
49,,Творог Здрайверы Клубника 3.6%,6.0,3.6,14.0,112
50,,Творог Здрайверы Персик 3.6%,6.0,3.6,14.0,112
51,,Творог Тёма с абрикосом,7.6,4.2,11.2,113
52,,Творожок Растишка с абрикосом,6.3,3.5,14.5,115
53,,Творожок Растишка с вишней,6.3,3.5,14.5,115
54,,Творожок Растишка с клубникой,6.3,3.5,14.5,115
55,,Творожок Растишка с черникой,6.3,3.5,14.5,115
