,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Барбарис,0.0,0.0,7.9,29
1,,Боярышник,0.0,0.0,14.0,52
2,,Брусника,0.7,0.5,9.6,43
3,,Брусника 4 сезона,0.7,0.5,8.2,40
4,,Брусника Hortex,0.7,0.4,7.5,36
5,,Брусника мочёная,0.3,0.2,5.3,24
6,,Бузина,0.7,0.5,11.4,73
7,,Виноград,0.6,0.2,16.8,65
8,,Голубика,1.0,0.0,8.2,35
9,,Ежевика,2.0,0.0,6.4,31
10,,Ежевика 4 сезона,2.1,0.4,4.6,31
11,,Ежевика Hortex,2.0,0.0,3.8,23
12,,Жимолость,0.0,0.0,7.8,30
13,,Земляника,0.8,0.4,7.5,41
14,,Ирга,0.0,0.0,12.0,45
15,,Калина,0.0,0.0,7.0,26
16,,Клубника,0.8,0.4,7.5,41
17,,Клубника 4 сезона,0.8,0.1,6.6,34
18,,Клубника Hortex,0.7,0.4,5.4,32
19,,Клубника консервированная,0.6,0.3,16.1,65
20,,Клюква,0.5,0.0,6.8,26
21,,Клюква 4 сезона,0.5,0.2,3.9,18
22,,Клюква Hortex,0.5,0.0,3.8,17
23,,Княженика,0.0,0.0,7.0,26
24,,Компотное ассорти Hortex с клубникой,1.1,0.3,3.2,52
25,,Крыжовник,0.7,0.2,12.0,43
26,,Лимонник,1.0,0.0,1.9,11
27,,Логанова ягода,1.5,0.3,7.7,55
28,,Малина,0.8,0.5,8.3,46
29,,Малина 4 сезона,0.8,0.5,8.3,39
30,,Можжевельник,0.0,0.0,31.0,116
31,,Морошка,0.8,0.0,9.8,28
32,,Облепиха,1.2,5.4,5.7,82
33,,Облепиха Hortex,1.2,5.4,5.7,82
34,,Рябина,1.5,0.1,10.9,50
35,,Смородина белая,0.5,0.2,8.0,42
36,,Смородина красная,0.6,0.2,7.7,43
37,,Смородина чёрная,1.0,0.4,7.3,44
38,,Смородина чёрная 4 сезона,1.0,0.2,6.1,28
39,,Смородина чёрная Hortex,1.3,0.2,7.0,51
40,,Фруктовая смесь Hortex с малиной,1.0,0.3,6.4,40
41,,Черника,1.1,0.4,7.6,44
42,,Черника 4 сезона,1.1,0.6,8.2,43
43,,Черника Hortex,1.1,0.6,6.0,34
44,,Черноплодная рябина,1.5,0.2,10.9,55
45,,Шефердия серебристая,0.5,0.2,3.7,28
46,,Шиповник,1.6,0.0,14.0,51
