,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Жир бараний топлёный,0.0,99.7,0.0,897
1,,Жир говяжий топлёный,0.0,99.7,0.0,897
2,,Жир из печени трески,0.0,99.8,0.0,898
3,,Жир кондитерский для шоколадных изделий,0.0,99.7,0.0,897
4,,Жир кондитерский твердый,0.0,99.8,0.0,898
5,,Жир костный топлёный,0.0,99.7,0.0,897
6,,Жир кулинарный,0.0,99.7,0.0,897
7,,Жир куриный,0.0,99.7,0.0,897
8,,Жир рыбий,0.0,100.0,0.0,902
9,,Жир свиной топлёный,0.0,99.6,0.0,896
10,,Маргарин низкокалорийный,0.5,60.0,0.7,545
11,,Маргарин Славянский,0.3,82.0,0.1,743
12,,Маргарин сливочный,0.5,82.0,0.0,745
13,,Маргарин столовый молочный,0.3,82.0,1.0,743
14,,Маргарин Экстра,0.5,82.0,1.0,744
15,,Масло абрикосовое,0.0,99.9,0.0,899
16,,Масло авокадо,0.0,100.0,0.0,884
17,,Масло амаранта,0.0,81.8,0.0,736
18,,Масло арахисовое,0.0,99.9,0.0,899
19,,Масло арахисовое PB2 сухое обезжиренное,37.5,8.3,37.5,375
20,,Масло виноградных косточек,0.0,99.9,0.0,899
21,,Масло горчичное,0.0,99.8,0.0,898
22,,Масло грецкого ореха,0.0,99.8,0.0,898
23,,Масло зародышей пшеницы,0.0,100.0,0.0,884
24,,Масло иланг-иланга,0.0,99.0,0.0,890
25,,Масло какао,0.0,99.9,0.0,899
26,,Масло канолы,0.0,99.0,0.0,898
27,,Масло кедрового ореха,0.0,99.0,0.0,898
28,,Масло кокосовое,0.0,99.9,0.0,899
29,,Масло конопляное,0.0,99.9,0.0,899
30,,Масло кукурузное,0.0,99.9,0.0,899
31,,Масло кунжутное,0.0,99.9,0.0,899
32,,Масло лимонное,0.0,100.0,0.0,900
33,,Масло льняное,0.0,99.8,0.0,898
34,,Масло макадамии,9.2,74.6,10.0,708
35,,Масло маковое,0.0,99.8,0.0,898
36,,Масло миндальное,0.0,90.7,0.0,816
37,,Масло мускатного ореха,0.0,100.0,0.1,899
38,,Масло облепиховое,0.0,99.5,0.0,896
39,,Масло овсяное,0.0,99.0,0.0,890
40,,Масло оливковое,0.0,99.8,0.0,898
41,,Масло оливковое Tierras de Olivos Агро-Альянс,0.0,99.9,0.0,900
42,,Масло ореховое,0.0,100.0,0.0,899
43,,Масло пальмовое,0.0,99.9,0.0,899
44,,Масло подсолнечное,0.0,99.9,0.0,899
45,,Масло рапсово-соевое,0.0,99.9,0.0,899
46,,Масло рапсовое,0.0,99.9,0.0,899
47,,Масло растительное нерафинированное,0.0,99.0,0.0,899
48,,Масло растительное рафинированное,0.0,99.0,0.0,899
49,,Масло расторопши,0.0,98.0,0.0,889
50,,Масло репейное,0.0,100.0,0.0,930
51,,Масло сафлоровое,0.0,100.0,0.0,880
52,,Масло сливочное,0.5,82.5,0.8,748
53,,Масло сливочное 60%,1.3,60.0,1.7,552
54,,Масло сливочное 67%,1.0,67.0,1.6,610
55,,Масло сливочное Валио 82%,0.7,82.0,0.7,740
56,,"Масло сливочное крестьянское несолёное 72,5%",1.0,72.5,1.4,662
57,,"Масло сливочное крестьянское солёное 72,5%",1.0,72.5,1.4,662
58,,Масло соевое,0.0,99.9,0.0,899
59,,Масло топлёное,0.2,99.0,0.0,892
60,,Масло тыквенное,0.0,99.5,0.0,896
61,,Масло хлопковое,0.0,99.0,0.0,899
62,,Масло ши (карите),0.0,98.0,0.0,884
63,,Масло шишек хмеля,0.0,99.0,0.0,897
64,,Масло шоколадное,1.5,62.0,18.6,642
65,,Спред растительно-жировой Нежный,0.0,40.0,0.0,360
66,,Тахина,24.0,62.0,10.0,695
