,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Сыр Дор Блю a la creme,7.0,25.0,3.0,265
1,,Сыр Дорогобужский,20.0,28.0,0.0,332
2,,Сыр зеленый,26.0,26.5,3.5,356
3,,Сыр Ичалки Диетический 27%,12.2,12.7,0.0,164
4,,Сыр Камамбер,21.0,23.0,0.0,291
5,,Сыр Камбоцола,13.5,43.8,0.5,427
6,,Сыр Кантали,26.7,14.1,0.0,234
7,,Сыр Карат Violette творожный сливочный,8.9,27.8,3.0,298
8,,Сыр Карат Волна плавленый,15.1,23.1,1.9,276
9,,Сыр Карат Дружба плавленый,15.0,24.2,2.5,287
10,,Сыр Карат кисломолочный плавленый,14.1,18.0,3.7,233
11,,Сыр Карат Орбита плавленый,24.7,8.0,0.0,171
12,,Сыр Карат с грибами для супа плавленый,15.9,25.9,1.9,304
13,,Сыр Карат с луком для супа плавленый,16.4,28.6,0.0,323
14,,Сыр Карат шоколадный плавленый,11.6,18.5,25.8,311
15,,Сыр Карат Янтарь плавленый,12.0,26.4,3.1,297
16,,Сыр Кастелло Бри,19.0,24.0,1.0,296
17,,Сыр Кастелло Данаблю,19.7,28.6,0.7,339
18,,Сыр Качокавалло,22.6,13.1,0.0,209
19,,Сыр Кисломолочный,31.0,0.7,0.3,133
20,,Сыр Козий,21.3,21.7,0.7,290
21,,Сыр колбасный копчёный,23.0,19.0,0.0,271
22,,Сыр Комте,28.4,32.0,0.0,407
23,,Сыр Копчёный,27.7,25.3,7.3,380
24,,Сыр Костромской,25.2,26.3,0.0,345
25,,Сыр Курт,25.0,16.0,2.7,260
26,,Сыр Ламбер,23.7,30.5,0.0,377
27,,Сыр Ламбер сливочный,23.7,32.5,0.0,395
28,,Сыр Ламбер Тильзитер,24.0,25.0,0.0,339
29,,Сыр Латвийский,23.3,24.1,0.0,316
30,,Сыр Ливаро,20.0,29.0,0.0,340
31,,Сыр Лимбургер,20.1,27.3,0.1,327
32,,Сыр Литовский,27.9,14.7,0.0,250
33,,Сыр Маасдам,23.5,26.0,0.0,350
34,,Сыр Манчего,24.0,32.0,2.6,395
35,,Сыр Маскарпоне,4.8,41.5,4.8,412
36,,Сыр Мексиканский,24.7,19.4,3.4,282
37,,Сыр Мондзеер,22.0,20.3,6.7,280
38,,Сыр Московский,26.0,26.5,3.5,356
39,,Сыр Моцарелла,18.0,24.0,0.0,240
40,,Сыр Моцарелла Гальбани,17.5,13.5,1.0,196
41,,Сыр Моцарелла Паладин,19.0,20.0,0.0,255
42,,Сыр Мраморный,24.8,25.2,0.0,326
43,,Сыр Мюнстер,24.7,17.6,3.5,274
44,,Сыр Ночерино,20.0,28.0,0.0,332
45,,Сыр Ольтермани 17%,29.0,17.0,0.0,270
46,,Сыр Ольтермани 29%,25.0,29.0,0.0,360
47,,Сыр Ольтермани 55%,23.0,34.0,0.0,400
48,,Сыр Ольтермани 9%,31.0,9.0,0.0,210
49,,Сыр Осетинский,26.0,26.5,3.5,356
50,,Сыр Панир,12.8,15.7,21.0,274
51,,Сыр Пармезан,33.0,28.0,0.0,392
52,,Сыр Пекорино,25.5,33.0,0.0,419
53,,Сыр Перлини копченый,17.7,18.0,0.0,233
54,,Сыр Песто зелёный,23.0,32.0,0.0,380
55,,Сыр плавленый,16.8,11.2,23.8,257
56,,Сыр плавленый шоколадный,11.6,18.5,25.8,311
57,,Сыр Полесский,23.0,14.3,0.0,221
58,,Сыр Пошехонский,26.0,26.5,0.0,350
59,,Сыр Прибалтийский,24.6,25.2,0.0,332
60,,Сыр Раклет,22.7,28.0,1.0,357
61,,Сыр Реблошон,19.7,25.6,2.3,327
62,,Сыр Рикотта,11.0,13.0,3.0,174
63,,Сыр Ровеньки Диетический 20%,32.0,9.0,0.0,209
64,,Сыр Рокамадур,21.3,21.7,0.7,290
65,,Сыр Рокишкио,32.0,25.0,0.0,366
66,,Сыр Рокфор,20.0,28.0,0.0,337
67,,Сыр Российский,24.1,29.5,0.3,363
68,,Сыр Ружетт,35.0,15.0,0.5,377
69,,Сыр с белой плесенью,21.3,21.7,0.0,290
70,,Сыр с голубой плесенью,17.6,31.0,1.8,363
71,,Сыр с красной плесенью,20.0,29.0,0.0,340
72,,Сыр с плесенью,20.0,29.0,0.0,340
73,,Сыр Салер,26.3,26.6,0.0,350
74,,Сыр Сбринц,30.0,33.0,0.0,429
75,,Сыр Сиртаки рассольный Classic,10.0,17.0,8.0,225
76,,Сыр Сметанковый,21.0,27.5,0.0,332
77,,Сыр Снофриск козий натуральный,6.0,25.0,0.0,257
78,,Сыр Степной,24.0,26.3,1.7,350
79,,Сыр Стилтон,21.4,28.7,2.3,353
