,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Мороженое Dove Vanilla,3.8,21.7,30.5,333
1,,Мороженое Nestle Extreme Пломбир с чёрной смородиной,2.6,12.6,35.5,262
2,,Мороженое Nestle Extreme Тропик,2.4,7.5,39.0,236
3,,Мороженое Nestle Maxibon с печеньем и орехами,3.6,15.0,39.2,307
4,,Мороженое Nestle Maxibon Страчателла,3.6,15.0,39.4,307
5,,Мороженое Viva la Crema Грецкий орех,4.1,13.0,27.1,245
6,,Мороженое Viva la Crema Лесная ягода,3.2,8.2,29.4,205
7,,Мороженое Viva la Crema Персик-маракуйя,3.3,8.4,29.7,209
8,,Мороженое Viva la Crema Тартюфо,3.9,13.0,27.7,243
9,,Мороженое Viva la Crema Трюфель,2.5,9.6,27.6,210
10,,Мороженое Viva la Crema Фисташковое,4.1,13.9,24.6,239
11,,Мороженое Viva la Crema Шварцвальдская вишня,1.7,16.4,29.7,273
12,,Мороженое Инмарко Золотой стандарт пломбир,3.9,15.0,20.4,232
13,,Мороженое Инмарко Торжество пломбир натуральные сливки,3.9,15.0,20.4,232
14,,Мороженое Инмарко Торжество Птичье молоко,3.7,12.9,30.0,251
15,,Мороженое Инмарко Торжество с клубничным чизкейком,3.9,8.3,29.3,208
16,,Мороженое Магнат Брюнетка,4.3,17.4,29.9,293
17,,Мороженое Магнат Мадагаскар тёмный шоколад,4.0,18.5,26.1,287
18,,Мороженое Магнат пломбир,4.3,20.1,26.7,305
19,,Мороженое молочное,3.2,3.5,21.3,126
20,,Мороженое молочное клубничное,3.8,2.8,22.2,123
21,,Мороженое молочное крем-брюле,3.5,3.5,23.1,134
22,,Мороженое молочное ореховое,5.4,6.5,20.1,157
23,,Мороженое молочное шоколадное,4.2,3.5,23.0,138
24,,Мороженое пломбир,3.2,15.0,20.8,227
25,,Мороженое пломбир крем-брюле,3.0,15.0,23.0,235
26,,Мороженое пломбир ореховый,5.2,18.0,19.9,259
27,,Мороженое пломбир шоколадный,3.6,15.0,22.3,236
28,,Мороженое Русский Холодъ Золотой пломбир,3.8,12.0,20.4,205
29,,Мороженое Русский Холодъ Юбилейное ванильное,3.7,12.0,20.4,204
30,,Мороженое Русский Холодъ Юбилейное эскимо без глазури,3.7,13.2,20.4,215
31,,Мороженое сливочное,3.3,10.0,19.8,179
32,,Мороженое сливочное клубничное,3.8,8.0,20.9,165
33,,Мороженое сливочное крем-брюле,3.5,10.0,21.6,186
34,,Мороженое сливочное ореховое,5.5,13.0,18.6,210
35,,Мороженое сливочное шоколадное,3.5,10.0,21.5,188
36,,Мороженое Талосто Ля Фам крем-брюле,4.5,13.7,32.0,262
37,,Мороженое Фифти-фифти Птичье молоко,9.6,10.8,19.4,213
38,,Мороженое Чистая Линия Cемейное пломбир ванильное,3.7,12.0,20.5,205
39,,Мороженое Экзо Арбуз и дыня,1.9,3.9,28.7,166
40,,Мороженое Экзо Черника и ежевика,1.9,3.9,28.7,166
41,,Мороженое эскимо,3.5,20.0,19.6,270
