name,"protein","fats","carbs","calories"
Антрекот,27.3,31.2,1.7,396
Антрекот из говядины,29.6,11.2,0.0,220
Антрекот из свинины,28.7,9.8,0.0,210
Анчоус атлантический,20.1,6.1,0.0,135
Анчоусная паста,26.0,16.0,4.0,280
Анчоусы консервированные,20.1,6.1,0.0,135
Аньолотти,10.0,1.1,71.5,344
Апельсин,0.9,0.2,8.1,36
Апельсин маринованный,0.6,0.0,8.9,37
Апельсиновый нектар,0.3,0.0,10.1,43
Апельсиновый сок,0.9,0.2,8.1,36
Арахис,26.3,45.2,9.9,622
Арахис сушеный,29.2,50.2,10.8,611
Арбуз,0.6,0.1,5.8,25
Арбуз консервированный,0.5,0.1,9.0,37
Арбузный сок,0.6,0.1,5.9,38
Аргентина,17.6,2.0,0.0,88
Арракача,0.9,0.1,17.1,60
Артишок,1.2,0.1,6.0,28
Ассорти Бондюэль из сладкого перца,1.1,0.2,4.8,25
Ассорти Бондюэль из фасоли с ананасами в соусе Карри,3.8,1.1,9.3,62
Ассорти Бондюэль из цветной капусты романеско и брокколи,1.8,2.7,8.6,66
Ассорти мясное,11.3,23.5,0.9,264
Ассорти овощное,1.0,0.1,3.3,19
Ассорти рыбное,10.4,4.7,0.5,78
Ацерола,0.4,0.3,7.7,32
Ацидофилин 0.1%,3.0,0.1,3.9,31
Ацидофилин 1%,3.0,1.0,4.0,40
Ацидофилин 3.2%,2.8,3.2,3.8,57
Ацидофилин 3.2% сладкий,2.8,3.2,8.6,77
Ацидофилин Останкинский 2.5%,2.8,2.5,4.2,51
Баветте,11.0,1.3,70.5,351
Багель,7.9,9.4,55.5,339
Багет,7.5,2.9,51.4,262
Бадьян,18.0,16.0,50.0,337
Базилик свежий,2.5,0.6,4.3,27
Базилик сушеный,14.4,4.0,61.0,251
Баклажан,1.2,0.1,4.5,24
Баклажан консервированный,0.9,0.7,7.3,49
Баклажанная икра консервированная,1.7,13.3,5.1,148
Баклажанная икра свежая,0.6,7.0,6.0,90
Баклажаны 4 сезона запечённые порционные,2.1,0.2,8.9,48
Баклажаны 4 сезона нарезанные,1.3,0.1,5.2,27
Баклажаны по-корейски готовые,0.0,9.0,6.5,109
Баклажаны фаршированные готовые,1.5,6.1,7.3,79
Бамбук листья,2.0,0.0,4.0,32
Бамбук побеги вареные,1.5,0.2,0.9,12
Бамбук побеги консервированные,1.7,0.4,1.8,19
Бамбук побеги сырые,2.6,0.3,3.0,27
Бамия,2.0,0.1,3.8,25
Бамия 4 сезона,0.2,0.1,8.0,23
Банан,1.5,0.2,21.8,95
Банановый сок,0.0,0.0,12.0,48
Бананы сушёные,3.9,1.8,80.5,390
Барабулька (султанка),19.4,3.8,0.0,117
Бараний окорок,18.0,18.0,0.0,232
Бараний рубец,11.5,4.0,0.0,82
Бараний фарш,17.0,23.0,0.0,282
Бараний язык,12.6,16.1,0.0,195
Баранина,15.6,16.3,0.0,209
Баранина вареная,24.6,21.4,0.0,291
Баранина жареная,20.0,24.0,0.0,320
Баранина тушеная,20.0,20.9,0.0,268
Баранки,16.0,1.0,70.0,336
Баранье сердце,13.5,2.5,0.0,82
Бараньи почки,13.6,2.5,0.0,77
Бараньи яйца,13.0,19.0,0.1,230
Баранья лопатка,15.6,25.0,0.0,284
Баранья печень,18.7,2.9,0.0,101
Барбарис,0.0,0.0,7.9,29
Барбарис сушеный,0.0,0.0,38.0,152
Баренцев Анчоус солёно-сушёный,49.0,7.0,0.0,259
Баренцев Кальмар кольца,53.0,2.0,3.0,242
Баренцев Кальмар копчёный,53.0,2.0,3.0,242
Баренцев Кальмар солёно-сушёный,62.0,2.0,5.0,286
Баренцев Креветка со специями,36.0,4.0,3.0,192
Баренцев Окинэль ломтики филе,50.7,8.6,0.0,280
Баренцев Окинэль с перцем,50.7,8.6,0.0,280
Баренцев Соломка рыбная оригинальная,46.0,3.0,5.0,231
