name,protein,fats,carbs,calories
Варенье из яблок,0.4,0.3,68.2,265
Васаби игай-яки,4.5,8.0,11.5,136
Васаби Сэн Сой Премиум,0.0,9.0,40.0,241
Ватрушка с творожной начинкой,10.0,12.1,46.1,331
Вафли MyProtein Wafers,35.8,21.5,31.0,466
Вафли венские с карамелью,8.1,19.4,53.3,424
Вафли венские со взбитыми сливками,4.8,23.3,50.5,489
Вафли с жирной начинкой,3.4,30.2,64.7,539
Вафли с фруктовой начинкой,3.2,2.8,80.9,350
Вафли Сдобная особа домашние с изюмом,7.9,21.7,55.8,452
Вафли Сдобная особа домашние сахарные,8.2,23.1,54.4,459
Вафли Сдобная особа мягкие с суфле классические,5.5,23.9,52.2,446
Вафли Сдобная особа мягкие с суфле со вкусом пломбира,5.5,23.9,52.2,446
Вафли Яшкино с карамельной начинкой,6.0,15.2,67.9,430
Венерка,14.7,1.0,3.6,86
Верблюжатина,18.9,9.4,0.0,160
Верблюжатина вареная,29.8,12.4,0.0,230
Верблюжатина жареная,33.3,16.5,0.0,281
Верблюжатина тушеная,24.3,12.1,0.0,205
Вермишель Myllyn Paras,10.4,1.1,71.5,344
Вермишель Бефстроганов соевая,48.9,2.3,8.9,254
Вермишелька Heinz звездочки Любопышки,10.3,1.3,78.6,367
Вермут,0.0,0.0,15.9,158
Вермут Cinzano Bianco белый,0.0,0.0,18.0,155
Вермут Cinzano Rose розовый,0.0,0.0,14.5,141
Вермут Martini,0.0,0.0,17.0,145
Вермут Martini Bianco белый,0.0,0.0,17.0,145
Вермут Martini Extra Dry сухой,0.0,0.0,2.5,110
Вермут Martini Rose розовый,0.0,0.0,16.0,140
Вермут Martini Rosso красный,0.0,0.0,15.0,138
Вермут Perlino Bianco белый,0.0,0.0,14.0,139
Вермут Perlino Rosso красный,0.0,0.0,14.0,139
Ветчина,14.0,24.0,0.0,270
Ветчина DAK Датская,18.0,4.0,1.0,471
Ветчина в форме,22.6,20.9,0.0,278
Ветчина из индейки обезжиренная,15.0,1.0,2.0,77
Ветчина Империя Вкуса из индейки,11.0,3.0,7.0,99
Ветчина Останкино нежная из индейки,10.0,10.0,5.0,154
Ветчина Останкино нежная из свиного окорока,8.0,13.0,3.0,166
Ветчина Пармская,24.4,22.5,0.1,300
Вешенки маринованные Steinhauer,1.0,1.5,0.0,23
Вешенки свежие,2.5,0.3,6.5,38
Вигна,3.0,0.4,18.8,90
Визига,1.2,0.1,6.0,28
Винегрет овощной готовый,1.8,3.7,8.8,75
Винегрет особый готовый,6.3,18.8,15.9,218
Винный камень,0.0,0.0,0.0,0
Вино Asti Mondoro белое полусладкое игристое,0.0,0.0,9.0,78
Вино Riunite D'Oro белое полусладкое игристое,0.0,0.0,6.0,69
Вино Riunite Lambrusco Emilia красное полусладкое игристое,0.0,0.0,6.0,69
Вино Riunite Lambrusco Rose розовое полусладкое игристое,0.0,0.0,6.0,69
Вино белое десертное 16%,0.5,0.0,16.0,153
Вино белое Мускат,0.0,0.0,5.0,82
Вино белое Рислинг,0.0,0.0,4.0,80
Вино белое Совиньон,0.0,0.0,2.0,81
Вино белое столовое 11%,0.2,0.0,0.2,65
Вино белое сухое,0.1,0.0,0.6,66
Вино белое Херес,0.0,0.0,3.0,126
Вино красное Божоле Нуво,2.5,0.0,0.0,95
Вино красное Бургундское,0.0,0.0,4.0,86
Вино красное десертное,0.5,0.0,20.0,172
Вино красное Кагор,0.0,0.0,16.0,147
Вино красное Киндзмараули,0.5,0.0,20.0,172
Вино красное Кьянти,0.1,0.0,2.7,84
Вино красное столовое 12%,0.3,0.0,0.2,71
Вино красное сухое,0.2,0.0,0.3,68
Вино красное Хванчкара,0.1,0.0,3.0,83
Вино медовое,0.0,0.0,21.3,71
Виноград,0.6,0.2,16.8,65
Виноградный компот,0.5,0.0,19.7,77
Виноградный сок,0.3,0.0,14.0,54
Виски,0.0,0.0,0.4,235
Вишнёвый компот,0.6,0.0,24.5,99
Вишнёвый нектар,0.1,0.0,12.0,50
Вишнёвый сок,0.7,0.0,10.2,47
Вишня,0.8,0.5,11.3,52
Вишня 4 сезона без косточки,0.8,0.2,10.7,50
Вишня Hortex без косточки,0.9,0.4,9.9,49
Вишня вяленая,1.5,0.0,73.0,290
Вишня замороженная,0.9,0.4,11.0,46
