,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Сарада Шиитакэ ремонэ,1.7,0.3,15.5,73
1,,Сарада Эби уми,5.0,0.8,20.6,110
2,,Сарада Югатами хару,7.3,4.0,8.7,100
3,,Сашими Изуми-тай,11.6,2.2,1.1,71
4,,Сашими Ика,11.3,1.5,1.3,63
5,,Сашими Икура,10.6,3.5,1.1,80
6,,Сашими Магуро,15.3,2.8,1.1,91
7,,Сашими Сякэ,12.5,5.0,1.1,73
8,,Сашими Тако,5.6,1.2,1.1,37
9,,Сашими Тобико,9.4,3.3,1.5,72
10,,Сашими Томаго-яки,7.2,12.1,2.4,147
11,,Сашими Унаги,9.3,19.0,1.8,215
12,,Сашими Хамачи,10.2,6.7,1.1,106
13,,Сашими Хотатэ,5.0,1.5,2.3,42
14,,Сашими Эби,11.3,0.7,1.6,58
15,,Суп Шаксфин,2.0,1.1,5.6,41
16,,Суп Бута рамен,3.6,4.1,6.1,76
17,,Суп Гёдза мисо,3.4,4.9,6.5,83
18,,Суп Икинацу мисо,0.3,0.3,6.1,28
19,,Суп Исикари мисо,2.6,5.2,6.6,84
20,,Суп Каники мисо,2.0,2.8,6.3,59
21,,Суп Кимчи тиге,2.2,3.8,5.4,65
22,,Суп Мангэцу куриму,5.0,4.0,11.0,101
23,,Суп Мисо сиру,2.1,1.2,11.7,66
24,,Суп Самуй сиру,2.0,3.0,6.9,62
25,,Суп Суймоно,1.9,1.1,11.6,62
26,,Суп Сякэ тядзукэ,2.4,2.8,4.0,51
27,,Суп Темпура дзосуй,3.0,1.3,8.5,58
28,,Суп Тори рамэн,1.9,1.7,8.2,55
29,,Суп Удзура тамаго,2.6,1.1,7.3,50
30,,Суп Хакусай бекон куриму,2.5,4.1,7.1,76
31,,Суп Эби тай сиро,4.7,2.4,11.2,85
32,,Суп Эби чили мисо,1.8,3.0,7.6,65
33,,Суши Изуми-тай,8.4,1.6,15.2,108
34,,Суши Ика,8.4,1.2,16.0,108
35,,Суши Икура,13.6,5.5,15.6,161
36,,Суши Инари кунсэй,11.0,8.6,11.5,151
37,,Суши Инари магуро,10.7,9.3,11.3,172
38,,Суши Инари сякэ,9.6,10.0,11.3,173
39,,Суши Инари унаги,8.4,15.0,11.3,213
40,,Суши Инари хамачи,9.6,10.0,11.3,173
41,,Суши Инари хотатэ,6.9,8.1,11.8,147
42,,Суши Кани,8.4,0.8,15.2,101
43,,Суши Магуро,11.2,2.4,15.2,126
44,,Суши Супайсу кани,7.3,12.3,13.3,193
45,,Суши Супайсу магуро,9.3,13.3,13.3,209
46,,Суши Супайсу сякэ,8.0,14.6,13.3,216
47,,Суши Супайсу унаги,6.3,16.0,13.3,222
48,,Суши Супайсу хамачи,7.0,15.3,13.3,218
49,,Суши Супайсу хотатэ,4.0,12.7,14.0,183
50,,Суши Супайсу шиитакэ,3.6,16.0,14.6,216
51,,Суши Супайсу эби,7.3,12.3,13.6,193
52,,Суши Сякэ,9.2,3.6,15.2,129
53,,Суши Сякэ кунсей,10.4,5.6,15.2,152
54,,Суши Тако,4.0,1.2,15.2,87
55,,Суши Тамаго-яки,5.2,7.2,16.0,149
56,,Суши Тобико,12.8,4.0,15.6,149
57,,Суши Унаги,7.2,12.8,15.2,204
58,,Суши Хамачи,8.0,4.8,15.2,136
59,,Суши Хияши,5.0,3.6,15.6,114
60,,Суши Хотатэ,3.6,1.6,16.0,93
61,,Суши Эби,7.0,0.8,15.6,97
62,,Сякэ тэрияки,12.9,5.2,16.2,168
63,,Тамагояки тяхан,5.8,5.4,11.1,116
64,,Тонкацу тяхан,1.9,1.2,25.3,120
65,,Тори папурика,8.3,10.3,10.3,167
66,,Уми каигара,4.6,2.8,15.6,106
67,,Умисай гюнику,9.9,5.1,9.2,122
68,,Унайдзю,6.5,8.0,10.8,142
69,,Харусамэ тамагояки,7.7,2.5,20.5,135
70,,Хорэнсо сяке,26.6,8.1,3.8,154
71,,Хотатэ фурай,7.0,3.6,13.0,128
72,,Широми фурай,7.5,5.1,8.2,108
73,,Эби папурика,7.0,9.0,8.7,143
74,,Эби рамэн яки,7.1,3.3,20.1,139
75,,Ясай темпура,2.9,4.5,7.4,83
76,,Ясай шитаке удон,2.3,2.7,21.6,120
