,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Абрикосовый компот,0.5,0.0,21.0,85
1,,Абрикосовый сок,0.9,0.1,9.0,38
2,,Айвовый компот,0.4,0.0,20.0,79
3,,Айвовый сок,0.5,0.0,10.6,45
4,,Ананасовый компот,0.1,0.1,14.0,71
5,,Ананасовый нектар,0.1,0.0,12.9,54
6,,Ананасовый сок,0.3,0.1,11.4,48
7,,Апельсиновый нектар,0.3,0.0,10.1,43
8,,Апельсиновый сок,0.9,0.2,8.1,36
9,,Арбузный сок,0.6,0.1,5.9,38
10,,Банановый сок,0.0,0.0,12.0,48
11,,Березовый сок,0.1,0.0,5.8,24
12,,Бузинный сок,1.1,0.2,5.1,27
13,,Виноградный компот,0.5,0.0,19.7,77
14,,Виноградный сок,0.3,0.0,14.0,54
15,,Вишнёвый компот,0.6,0.0,24.5,99
16,,Вишнёвый нектар,0.1,0.0,12.0,50
17,,Вишнёвый сок,0.7,0.0,10.2,47
18,,Гранатовый сок,0.3,0.0,14.5,64
19,,Грейпфрутовый нектар,0.2,0.0,10.4,44
20,,Грейпфрутовый сок,0.9,0.2,6.5,30
21,,Грушевый компот,0.2,0.0,18.2,70
22,,Грушевый нектар,0.1,0.1,8.8,37
23,,Грушевый сок,0.4,0.3,11.0,46
24,,Гуавовый сок,0.1,0.1,13.9,57
25,,Земляничный сок,0.0,0.0,10.0,41
26,,Кисель из вишневого сока,0.2,0.0,18.9,78
27,,Кисель из клюквы,0.0,0.0,13.0,53
28,,Кисель из кураги,0.4,0.0,12.9,54
29,,Кисель из сливового варенья,0.1,0.0,15.5,63
30,,Кисель из сушеных яблок,0.1,0.0,16.3,66
31,,Кисель из яблок,0.1,0.1,23.7,97
32,,Клубничный сок,0.6,0.4,7.0,31
33,,Клюквенный сок,0.4,0.3,11.0,46
34,,Компот из сухофруктов без сахара,0.8,0.0,14.2,60
35,,Лаймовый сок,0.0,0.0,8.2,25
36,,Лимонный сок,0.9,0.1,3.0,16
37,,Малиновый сок,0.8,0.0,24.7,100
38,,Манговый сок,0.0,0.0,13.5,54
39,,Мандариновый компот,0.1,0.0,18.1,69
40,,Мандариновый сок,0.8,0.3,8.1,36
41,,Морковный сок,1.1,0.1,6.4,28
42,,Морковный сок Золотая Русь экзотик,0.0,0.0,11.0,44
43,,Нектар из маракуйи,0.2,0.0,9.8,41
44,,Нектар тыквенный Удачный,0.0,0.0,12.0,48
45,,Нектариновый нектар,0.1,0.0,12.8,53
46,,Нектариновый сок,0.4,0.0,8.6,37
47,,Облепиховый сок,0.6,3.4,4.3,52
48,,Огуречный сок,0.8,0.1,2.5,14
49,,Персиковый компот,0.5,0.0,19.9,78
50,,Персиковый нектар,0.2,0.0,9.0,38
51,,Персиковый сок,0.9,0.1,9.5,40
52,,Свекольный сок,1.0,0.0,9.9,42
53,,Сливовый компот,0.5,0.0,23.9,96
54,,Сливовый нектар,0.1,0.0,11.0,46
55,,Сливовый сок,0.8,0.0,9.6,39
56,,Сок киви,0.0,0.3,10.0,41
57,,Сок нони,0.1,0.3,10.0,44
58,,Сок овощная смесь Золотая Русь,0.0,0.0,5.0,20
59,,Сок овощная смесь Тонус Active,0.0,0.0,6.2,25
60,,"Сок овощной Mr. Овощ с солью, сладким перцем и чесноком",0.0,0.0,5.0,20
61,,Сок папайи,0.4,0.1,13.3,51
62,,Сок петрушки,3.7,0.4,7.6,49
63,,Сок сельдерея,0.7,0.3,4.8,31
64,,Томатный сок,1.1,0.2,3.8,21
65,,Томатный сок J-7 с мякотью,0.2,0.0,5.3,22
66,,Тыквенный сок,0.0,0.0,9.0,38
67,,Черешневый компот,0.5,0.0,19.9,78
68,,Черничный сок,0.0,1.0,8.0,38
69,,Черноплодно-рябиновый сок,0.1,0.0,7.4,32
70,,Черносмородиновый компот,0.3,0.1,13.9,58
71,,Черносмородиновый сок,0.5,0.0,7.9,40
72,,Шиповниковый сок,0.1,0.0,17.6,70
73,,Яблочный компот,0.2,0.0,22.1,85
74,,Яблочный нектар,0.1,0.0,10.0,41
75,,Яблочный сок,0.4,0.4,9.8,42
