,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Соус базиликовый,1.1,54.6,2.8,505
1,,Соус барбекю,0.6,0.7,39.4,166
2,,Соус барбекю Heinz,1.1,0.0,28.6,119
3,,Соус белый основной,1.0,3.8,4.1,56
4,,Соус велюте,1.0,4.4,3.6,75
5,,Соус вустерский,1.0,0.1,18.5,78
6,,Соус гарум,3.4,0.0,21.3,121
7,,Соус грибной,1.2,4.8,6.2,82
8,,Соус демиглас,1.0,3.0,5.0,51
9,,Соус для спагетти Heinz сливочно-томатный,1.9,4.0,6.3,69
10,,Соус для спагетти Heinz традиционный,1.2,3.6,5.8,61
11,,Соус зеленый,4.0,26.4,4.0,270
12,,Соус карри,1.4,23.1,14.9,267
13,,Соус кимчи,6.1,1.1,15.1,94
14,,Соус кисло-сладкий,0.3,0.8,39.7,167
15,,Соус кисло-сладкий азиатский,2.0,6.0,25.0,143
16,,Соус кисло-сладкий с ананасом,0.3,0.2,21.2,89
17,,Соус кисло-сладкий Сэн Сой Премиум,1.0,0.0,30.0,124
18,,Соус клюквенный,0.2,1.0,42.2,180
19,,Соус коктейль,3.2,30.0,11.6,329
20,,Соус коричневый эспаньоль,0.7,9.1,3.3,98
21,,Соус красный основной,1.1,6.2,2.0,48
22,,Соус луковый,1.3,6.1,4.8,75
23,,Соус майонез со сметаной,2.8,31.9,3.3,312
24,,Соус молочный,2.0,7.1,5.2,84
25,,Соус Моя семья к картофелю с зелёным луком,0.8,18.0,7.9,197
26,,Соус Моя семья к макаронам с сыром Чеддер,1.0,18.1,8.2,200
27,,Соус Моя семья к мясу три душистых перца,0.8,18.0,7.9,197
28,,Соус Моя семья к пельменям с чесноком и душистыми травами,0.8,18.0,7.9,197
29,,Соус Моя семья к рыбе с маринованными огурчиками,0.9,18.0,7.0,193
30,,Соус Моя семья к сосискам с горчичными семечками,0.8,18.0,8.9,201
31,,Соус наршараб,0.5,0.2,67.6,270
32,,Соус ореховый,23.4,37.5,10.5,473
33,,Соус Пад Тай,14.6,27.1,25.0,375
34,,Соус песто,5.0,45.0,6.0,454
35,,Соус ремулад,0.2,9.0,1.1,89
36,,Соус рисовый Мирин,0.2,0.2,52.2,258
37,,Соус рыбный,2.9,1.7,4.8,43
38,,Соус с хреном,0.7,4.2,0.1,27
39,,Соус сметанный,1.9,5.7,5.2,78
40,,Соус сметанный с шампиньонами,0.6,14.5,9.1,169
41,,Соус соевый Bragg Liquid Aminos,10.0,0.0,0.0,40
42,,Соус соевый Heinz,2.6,0.0,43.0,183
43,,Соус соевый Kikkoman,10.3,0.0,8.1,73
44,,Соус соевый Mivimex,6.3,0.0,0.0,25
45,,Соус соевый Стебель бамбука к Креветкам,9.1,2.1,13.0,52
46,,Соус соевый Стебель бамбука к Пельменям,6.6,1.2,12.0,48
47,,Соус соевый Стебель бамбука Классический,8.0,1.4,13.0,52
48,,Соус соевый Стебель бамбука Пикантный,8.4,2.1,13.0,52
49,,Соус соевый Стебель бамбука с Грибами,9.7,2.4,13.0,52
50,,Соус соевый Стебель бамбука с Перцем,9.0,2.0,13.0,52
51,,Соус соевый Стебель бамбука с Чесноком,8.2,1.7,13.0,52
52,,Соус соевый Стебель бамбука Японский,6.0,1.7,13.0,52
53,,Соус соевый Сэн Сой классический,3.5,0.0,11.0,58
54,,Соус соевый Сэн Сой Премиум Терияки,4.8,0.0,25.1,119
55,,Соус сырный Heinz,2.5,36.0,5.5,356
56,,Соус Сэн Сой Yakisoba для обжарки лапши,3.4,0.1,15.6,77
57,,Соус Табаско перечный зелёный,0.4,0.1,2.6,13
58,,Соус Табаско перечный красный,0.8,0.5,1.1,12
59,,Соус Табаско перечный с чесноком,1.5,0.8,4.8,32
60,,Соус тартар,0.9,46.0,7.0,464
61,,Соус терияки,5.9,0.0,15.5,89
62,,Соус томатный,1.7,7.8,4.5,80
63,,Соус томатный острый,2.5,0.0,21.8,98
64,,Соус укропный,0.8,30.0,8.1,309
65,,Соус устричный,3.5,0.0,21.3,121
66,,Соус хойсин,0.2,0.0,8.1,30
67,,Соус черносмородиновый,0.4,0.0,19.4,77
68,,Соус чесночный,1.6,32.2,9.1,335
69,,Соус чили,2.5,0.3,30.1,120
70,,Соус эбара,12.4,3.0,16.0,99
71,,Соус яблочный,0.3,0.1,19.0,77
72,,Стевия в таблетках,0.0,0.0,68.0,272
73,,Сумах,10.0,9.0,28.0,239
74,,Сухари панировочные,9.7,1.9,77.6,347
75,,Сухари панировочные Myllyn Paras,13.9,2.5,72.5,372
76,,Тамариндовая паста,2.8,0.6,62.5,239
77,,Тандури масала,15.0,15.0,45.0,379
78,,Тимьян (чабрец),5.6,1.7,10.5,101
79,,Тимьян сушеный,9.1,7.4,26.9,276
