name,protein,fats,carbs,calories,category
Колбаса вареная диетическая,12.1,13.5,0.0,17,2
Колбаса вареная докторская,12.8,22.2,1.5,257,2
Колбаса вареная куриная,15.5,16.2,2.3,223,2
Колбаса вареная любительская,12.2,28.0,0.1,301,2
Колбаса вареная молочная,11.7,22.8,0.2,252,2
Колбаса вареная мортаделла,16.4,25.3,3.1,331,2
Колбаса вареная московская,11.5,21.8,2.0,250,2
Колбаса вареная русская,11.8,28.9,0.0,302,2
Колбаса вареная свиная,10.8,25.8,0.5,277,2
Колбаса вареная столичная,15.1,28.7,0.0,319,2
Колбаса вареная столовая,11.1,20.2,1.9,234,2
Колбаса вареная чайная,11.7,18.4,1.9,216,2
Колбаса варено-копченая куриная жареная,19.7,17.4,1.7,371,2
Колбаса варено-копченая любительская,17.2,39.0,0.2,420,2
Колбаса варено-копченая московская,19.1,36.6,0.2,406,2
Колбаса варено-копченая сервелат,16.1,40.1,0.0,425,2
Колбаса варено-копченая сервелат боярский,14.0,21.0,0.0,269,2
Колбаса варено-копченая сервелат российский,13.0,39.0,1.0,410,2
Колбаса вегетарианская,21.7,12.3,1.8,207,2
Колбаса ливерная,14.4,28.5,2.2,326,2
Колбаса печеночная домашняя,15.0,22.0,0.0,258,2
Колбаса полукопченая закусочная,15.0,33.0,2.3,366,2
Колбаса полукопченая краковская,16.2,44.6,0.0,466,2
Колбаса полукопченая минская,17.4,23.0,2.7,287,2
Колбаса полукопченая одесская,14.8,38.1,0.3,402,2
Колбаса полукопченая полтавская,16.4,39.0,0.0,417,2
Колбаса полукопченая салями любительская,12.0,50.0,0.0,498,2
Колбаса полукопченая таллиннская,17.1,33.8,0.2,373,2
Колбаса полукопченая украинская,16.5,34.4,0.0,376,2
Колбаса сыровяленая сальчичон,17.0,31.0,1.1,351,2
Колбаса сыровяленая суджук,30.3,37.9,0.0,463,2
Колбаса сыровяленая чоризо,24.1,38.3,1.9,455,2
Колбаса сырокопченая брауншвейгская,27.7,42.2,0.2,491,2
Колбаса сырокопченая зернистая,9.9,62.8,0.3,606,2
Колбаса сырокопченая любительская,20.9,47.8,0.0,514,2
Колбаса сырокопченая московская,24.8,41.5,0.0,473,2
Колбаса сырокопченая Салями Итальянская,11.0,63.0,0.0,631,2
Колбаса сырокопченая свиная,13.0,57.3,0.2,568,2
Колбаса сырокопченая сервелат,24.0,40.5,0.0,461,2
Колбаса сырокопченая столичная,24.0,43.4,0.0,487,2
Колбаски охотничьи,27.4,24.3,0.0,326,2
Колбаски охотничьи Дымов,25.7,40.0,0.0,463,2
Кровянка,9.0,19.5,14.5,274,2
Салями,21.6,53.7,1.4,568,2
Сардельки говяжьи,11.4,18.2,1.5,215,2
Сардельки молочные из мяса птицы охлажденные,11.0,19.0,2.6,226,2
Сардельки свиные,10.1,31.6,1.9,332,2
Сосиски говяжьи,10.4,20.1,0.8,226,2
Сосиски куриные,10.8,22.4,4.2,259,2
Сосиски любительские,9.0,29.5,0.7,304,2
Сосиски молочные,11.0,23.9,1.6,266,2
Сосиски особые,11.8,24.7,0.0,270,2
Сосиски русские,11.3,22.0,0.0,243,2
Сосиски свиные,9.5,34.3,0.0,342,2
Сосиски Щедрая Сибирь,12.0,16.0,5.0,212,2
Шпикачки,10.0,33.0,0.0,337,2
