,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Морской еж,13.8,4.3,2.5,84
1,,Морской желудь балянус,17.5,0.1,0.0,80
2,,Морской петух,18.0,2.7,0.0,161
3,,Муксун,17.5,2.0,0.0,88
4,,Мясо криля,17.5,1.8,2.8,97
5,,Навага,16.1,1.0,0.0,73
6,,Навага беломорская,19.2,1.6,0.0,91
7,,Навага дальневосточная,15.1,0.9,0.0,68
8,,Налим (печень),4.2,65.7,1.2,613
9,,Налим отварной,21.4,0.7,0.0,92
10,,Налим свежий,18.8,0.6,0.0,80
11,,Нельма,22.3,2.8,0.0,115
12,,Нерка,20.3,8.4,0.0,157
13,,Нототения,15.7,9.5,0.0,148
14,,Окунь морской горячего копчения,23.5,9.0,0.0,175
15,,Окунь морской отварной,19.9,3.6,0.0,112
16,,Окунь морской свежий,15.3,1.5,0.0,79
17,,Окунь морской тушеный,10.9,6.6,4.2,120
18,,Окунь речной жареный,20.6,9.1,4.0,180
19,,Окунь речной запечённый,6.8,4.7,8.4,103
20,,Окунь речной припущенный,19.5,3.5,0.0,109
21,,Окунь речной свежий,18.5,0.9,0.0,82
22,,Окунь речной фаршированный,14.9,6.1,3.9,130
23,,Омуль свежий,17.5,2.0,,88
24,,Осётр жареный,16.0,17.4,13.2,273
25,,Осётр отварной,17.7,12.0,,179
26,,Осётр припущенный,17.8,11.9,0.0,179
27,,Осётр свежий,16.4,10.9,0.0,163
28,,Осьминог,18.2,0.0,0.0,73
29,,Осьминог консервированный,21.0,5.2,4.0,135
30,,Осьминог маринованный,18.2,0.0,0.0,73
31,,Осьминог мини,14.9,1.0,2.2,82
32,,Палтус отварной,14.0,17.8,0.0,216
33,,Палтус свежий,18.9,3.0,0.0,102
34,,Пангасиус,15.0,3.0,,89
35,,Пеламида,22.4,14.2,0.0,217
36,,Пеленгас,18.0,5.0,0.0,84
37,,Пикша,17.2,0.2,0.0,71
38,,Плотва свежая,17.5,2.0,0.0,88
39,,Путассу,16.1,0.9,,72
40,,Раки морские вареные,20.5,0.7,0.3,90
41,,Раки морские свежие,18.8,1.3,0.5,89
42,,Раки речные вареные,20.3,1.3,1.0,97
43,,Раки речные свежие,15.5,1.0,1.2,76
44,,Рапана,16.7,1.1,0.0,77
45,,Ротан,17.5,2.0,0.0,88
46,,Рыба вяленая,17.5,4.6,0.0,139
47,,Рыба копченая,26.8,9.9,0.0,196
48,,Рыба маринованная,1.7,3.0,11.4,82
49,,Рыба соленая,19.2,2.0,0.0,190
50,,Рыба сушеная,52.4,5.8,3.3,275
51,,Рыба-попугай,18.7,24.0,0.0,270
52,,Рыба-сабля,19.3,3.2,0.0,106
53,,Рыбец,17.5,2.0,0.0,88
54,,Рыбная соломка,46.0,3.0,5.0,231
55,,Рыбная строганина,34.3,3.9,0.5,172
56,,Рыбное филе,15.2,3.5,0.0,91
57,,Рыбные бургеры,12.0,0.8,19.0,131
58,,Рыбные консервы,17.5,2.0,0.0,88
59,,Рыбные палочки замороженные,9.5,8.7,22.4,206
60,,Рыбные полуфабрикаты,12.5,6.7,14.7,209
61,,Рыбный балык,20.4,12.5,0.0,194
62,,Рыбный рулет,11.8,7.5,9.7,139
63,,Рыбный стейк,12.8,6.0,12.0,155
64,,Рыбный фарш,16.0,0.6,0.0,69
65,,Ряпушка,17.5,2.0,0.0,88
66,,Сазан азовский,18.4,5.3,,121
67,,Сазан каспийский,18.2,2.7,,97
68,,Сайда,19.4,0.9,0.0,92
69,,Сайра бланшированная в масле,18.3,23.3,,283
70,,Сайра консервированная,17.5,2.0,0.0,88
71,,Сайра свежая,18.6,12.0,,182
72,,Салака копчёная,25.4,5.6,,152
73,,Сардина атлантическая с добавлением масла,19.0,18.0,,238
74,,Сардина в масле,24.1,13.9,,221
75,,Сардина в томатном соусе,17.0,9.9,1.4,162
76,,Сардина отварная,20.1,10.8,,178
77,,Сардина свежая,20.6,9.6,,169
78,,Севрюга в томатном соусе,16.1,11.5,2.8,179
79,,Севрюга свежая,17.0,11.8,,160
