,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Борщ 4 сезона Московский,3.5,0.1,8.9,51
1,,Борщ Hortex украинский,1.4,0.2,4.8,31
2,,Борщ из свежей капусты с мясом,4.4,3.6,5.5,63
3,,Борщ летний холодный,1.1,2.1,6.4,49
4,,Борщ сибирский,1.9,1.5,6.8,48
5,,Борщ Сибирский с фрикадельками,5.8,5.3,5.0,82
6,,Борщ украинский,1.1,2.2,6.7,49
7,,Бульон говяжий,0.6,0.2,0.0,4
8,,Бульон грибной,0.5,0.1,0.0,3
9,,Бульон куриный,2.0,0.5,0.3,15
10,,Бульон куриный крепкий домашний,2.5,1.2,3.5,36
11,,Бульон куриный постный,0.1,0.0,0.0,1
12,,Бульон овощной,0.2,0.1,0.9,5
13,,Бульон рыбный,0.4,0.0,0.0,2
14,,Окрошка мясная с квасом,2.1,1.7,6.3,52
15,,Окрошка на кефире,3.1,1.9,4.3,47
16,,Рассольник,1.4,2.0,5.0,42
17,,Свекольник,0.5,2.0,4.2,36
18,,Солянка Домашняя,3.5,3.5,4.3,64
19,,Солянка овоще-грибная из свежей капусты,3.6,7.0,7.1,106
20,,Солянка овощная из квашеной капусты,3.3,10.5,6.6,134
21,,Солянка рыбная,2.4,1.2,1.2,25
22,,Солянка сборная мясная,5.2,4.6,1.7,69
23,,Суп 4 сезона из цветной капусты,0.1,0.1,8.4,38
24,,Суп 4 сезона щавелевый,1.7,0.1,11.7,52
25,,Суп Asian Fusion грибной с яйцом,31.0,12.0,34.0,368
26,,Суп Hortex грибной с подберезовиками,2.7,0.3,8.2,52
27,,Суп Hortex зимний,2.1,0.3,3.5,32
28,,Суп Hortex из цветной капусты с картофелем и укропом,1.9,0.2,5.4,36
29,,Суп Hortex итальянский,1.8,0.3,4.1,32
30,,Суп Hortex осенний,2.5,0.3,3.7,34
31,,Суп Hortex президентский,1.3,0.2,3.4,25
32,,Суп Hortex рассольник,1.4,0.1,7.3,38
33,,Суп Hortex с шампиньонами,1.9,0.3,5.6,37
34,,Суп Hortex щавелевый,1.3,0.4,7.9,45
35,,Суп Yelli из чечевицы Масурдал,22.0,1.5,49.0,300
36,,Суп Азиатский из фасоли,21.0,2.0,44.0,280
37,,Суп гороховый,4.4,2.4,8.9,66
38,,Суп грибной,1.9,2.4,5.7,50
39,,Суп Домашнее Бистро гороховый с копченостями,7.0,12.0,40.0,266
40,,Суп Домашнее Бистро грибной с белыми грибами,4.0,10.0,42.0,274
41,,Суп Домашнее Бистро куриный с вермишелью,7.0,8.0,40.0,260
42,,Суп Домашнее Бистро рассольник с говядиной,1.5,7.0,11.0,109
43,,Суп из зелёного горошка,3.2,1.2,11.2,56
44,,Суп из лука-порея с макаронами,1.4,1.1,6.6,39
45,,Суп из помидоров,1.3,1.8,1.9,28
46,,Суп из помидоров с макаронами,1.5,1.8,3.3,35
47,,Суп из помидоров с рисом,1.5,1.8,3.9,37
48,,Суп из сельдерея,1.6,1.8,4.5,37
49,,Суп из стручковой фасоли,2.2,0.6,8.9,43
50,,Суп из цветной капусты (общепит),1.6,0.5,4.9,28
51,,Суп из шпината с картофелем,2.2,0.9,6.6,40
52,,Суп Итальянский с мелкой пастой,18.0,1.5,55.0,310
53,,Суп картофельный,1.4,1.1,6.6,39
54,,Суп картофельный с крупой,1.3,1.2,9.5,54
55,,Суп картофельный с макаронными изделиями,1.3,1.0,8.4,48
56,,Суп лимонный с рисом,1.4,2.2,8.7,58
57,,Суп луковый,1.4,2.7,4.0,44
58,,Суп молочный с макаронами,2.2,1.9,7.9,58
59,,Суп молочный с рисом,1.8,1.9,7.3,54
60,,Суп овощной,1.7,1.8,6.2,43
61,,Суп овощной с фасолью,1.6,2.1,5.2,46
62,,Суп перловый с грибами,1.6,1.2,6.4,43
63,,Суп пшенный с мясом,2.9,2.2,6.4,57
64,,Суп рисовый с мясом,0.7,1.1,5.2,34
65,,Суп с бобовыми,3.4,2.2,1.4,66
66,,Суп с рисом Asian Fusion грибной со шпинатом и яйцом,15.0,2.0,58.0,310
67,,Суп Турецкий с Булгуром,19.0,1.5,54.0,310
68,,Суп фасолевый,4.0,1.8,10.0,62
69,,Суп фруктовый из яблок,0.1,0.1,11.8,42
70,,Суп харчо с мясом,3.1,4.5,5.5,75
71,,Суп щавелевый,1.6,2.5,2.9,40
72,,Суп-лапша Asian Fusion из морепродуктов с креветками,10.0,17.0,62.0,440
73,,Суп-пюре Yelli из гороха с карри,21.0,2.0,50.0,310
74,,Суп-пюре из рисовой крупы,1.4,1.3,7.7,48
75,,Уха,3.4,1.0,5.5,46
76,,Щи из квашеной капусты с картофелем,0.6,2.1,2.7,32
77,,Щи из свежей капусты (готовые),0.9,2.1,3.1,31
78,,Щи из свежей капусты с картофелем,1.0,3.8,2.1,38
79,,Щи суточные,0.6,2.8,1.5,34
