,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Торт Сад Вероники,4.4,17.5,42.9,340
1,,Торт Сказка,4.3,17.1,46.9,351
2,,Торт Сказки Востока ассорти,7.8,26.5,65.1,530
3,,Торт Сказки Востока с инжиром и орехами,7.8,26.5,65.1,530
4,,Торт Сказки Востока с курагой и орехами,7.8,26.5,65.1,530
5,,Торт Сказки Востока с черносливом и орехами,3.3,23.8,58.3,460
6,,Торт Сметанно-ореховый,2.9,13.5,35.3,275
7,,Торт Сметанный с ананасом,4.8,17.5,40.6,339
8,,Торт Сметанный с мёдом,3.3,19.5,25.8,292
9,,Торт Сметанный с персиками,4.8,17.5,40.6,339
10,,Торт Сметанный с черносливом,4.8,17.5,40.6,339
11,,Торт Соблазн,4.0,9.0,41.2,234
12,,Торт Сырный,3.6,18.4,43.3,353
13,,Торт Сырный десерт,6.0,24.7,21.6,333
14,,Торт Тайна вкуса,13.4,30.6,67.1,597
15,,Торт Тартюф,3.3,23.8,58.3,461
16,,Торт Творожно-сливочный с ананасом,4.6,10.1,43.2,282
17,,Торт Творожно-сливочный с вишней,3.3,8.0,37.6,236
18,,Торт Творожно-сливочный с малиной и абрикосом,3.4,8.0,36.2,231
19,,Торт Творожно-сливочный с малиной и черникой,3.3,8.0,36.4,231
20,,Торт Творожный десерт,3.6,12.6,26.6,239
21,,Торт Триумф,3.9,15.3,35.6,292
22,,Торт Трюфель,4.3,22.6,31.1,345
23,,Торт Трюфель с кофе,3.7,27.3,46.1,445
24,,Торт Трюфель с маком,3.7,27.3,46.1,445
25,,Торт Трюфель с орехами,3.7,27.3,46.1,445
26,,Торт Трюфель с шоколадом,3.7,27.3,46.1,445
27,,Торт Трюфель Черёмушки,4.4,17.0,50.4,365
28,,Торт Фруктовая услада,0.6,9.1,35.1,222
29,,Торт Фруктори - Вишня в черном,5.2,23.5,58.3,467
30,,Торт Цветок островов,6.8,15.7,37.4,304
31,,Торт Чародейка,5.3,15.5,57.3,382
32,,Торт Чародейка с вишней,4.8,11.2,59.9,352
33,,Торт Чародейка с фундуком,5.8,17.4,54.4,390
34,,Торт Чёрный принц,5.9,19.3,39.4,348
35,,Торт Шоколадная симфония,6.6,26.0,38.1,413
36,,Флай Дикая вишня,2.1,6.0,33.6,188
37,,Флай Душистая малина,2.2,5.5,29.2,159
38,,Флай Лесные ягоды,1.8,8.7,25.5,172
39,,Флай Творожный,8.0,20.7,31.0,341
40,,Флай Фруктовая экзотика,1.8,11.5,27.9,211
41,,Флай Чёрная смородина,2.5,6.7,27.7,175
