name,protein,fats,carbs,calories,category
Пиво Carlsberg,0.0,0.0,3.9,45,21
Пиво Efes Fusion,0.0,0.0,4.5,44,21
Пиво Efes Pilsener,0.0,0.0,4.7,46,21
Пиво Erdinger Weißbier,0.0,0.0,2.6,44,21
Пиво Franziskaner,0.0,0.0,2.5,46,21
Пиво Franziskaner Dunkel,0.0,0.0,2.5,46,21
Пиво Gambrinus Premium,0.0,0.0,4.4,44,21
Пиво Gold Mine Beer,0.0,0.0,4.6,42,21
Пиво Gold Mine Beer Fresh Lemon,0.0,0.0,5.5,43,21
Пиво Green Beer,0.0,0.0,3.1,49,21
Пиво Grolsh Premium,0.0,0.0,3.1,40,21
Пиво Guinness Draught,0.0,0.0,3.0,35,21
Пиво Guinness Extra Stout,0.0,0.0,3.0,44,21
Пиво Hacker-Pschorr,0.0,0.0,2.7,46,21
Пиво Hoegaarden,0.0,0.0,3.8,45,21
Пиво Holsten Premium,0.0,0.0,3.2,43,21
Пиво Kaltenberg,0.0,0.0,4.6,42,21
Пиво Kilkenny красное,0.0,0.0,2.9,41,21
Пиво Kronenbourg 1664,0.0,0.0,4.6,44,21
Пиво Kronenbourg 1664 Blanc,0.0,0.0,4.2,47,21
Пиво Krušovice Imperial,0.0,0.0,4.4,43,21
Пиво Krušovice Чёрное,0.0,0.0,3.9,36,21
Пиво MegaBier,0.0,0.0,4.6,42,21
Пиво Miller Genuine Draft,0.0,0.0,3.5,45,21
Пиво Paulaner Hefe-Weißbier,0.0,0.0,2.6,47,21
Пиво Pilsner Urquell,0.0,0.0,4.4,45,21
Пиво Staropramen,0.0,0.0,3.6,35,21
Пиво Stella Artois,0.0,0.0,4.7,46,21
Пиво Tuborg Black,0.0,0.0,3.3,41,21
Пиво Tuborg Green,0.0,0.0,4.6,42,21
Пиво Tuborg Lemon,0.0,0.0,3.7,41,21
Пиво Velkopopovický Kozel Černý,0.0,0.0,3.8,36,21
Пиво Velkopopovický Kozel Premium,0.0,0.0,4.3,43,21
Пиво Velkopopovický Kozel Světlý,0.0,0.0,3.4,36,21
Пиво Zatecky Gus,0.0,0.0,3.6,41,21
Пиво Арсенальное Живое,0.0,0.0,3.9,39,21
Пиво Арсенальное Классическое,0.0,0.0,3.7,41,21
Пиво Арсенальное Крепкое,0.0,0.0,4.0,57,21
Пиво Арсенальное Традиционное,0.0,0.0,3.8,45,21
Пиво Арсенальное Экстра Крепкое,0.0,0.0,4.3,65,21
Пиво Балтика LITE,0.0,0.0,3.5,37,21
Пиво Балтика Кулер,0.0,0.0,3.4,41,21
Пиво Балтика Кулер Лайм,0.0,0.0,3.4,41,21
Пиво Балтика №1 Легкое,0.0,0.0,4.8,39,21
Пиво Балтика №2 Светлое,0.0,0.0,3.4,41,21
Пиво Балтика №3 Классическое,0.0,0.0,4.8,42,21
Пиво Балтика №4 Оригинальное,0.0,0.0,4.8,54,21
Пиво Балтика №5 Золотое,0.0,0.0,3.0,45,21
Пиво Балтика №6 Портер,0.0,0.0,4.9,61,21
Пиво Балтика №7 Экспортное,0.0,0.0,3.4,45,21
Пиво Балтика №8 Пшеничное,0.0,0.0,3.4,45,21
Пиво Балтика №9 Крепкое,0.0,0.0,3.7,60,21
Пиво Белый медведь Светлое,0.0,0.0,4.6,42,21
Пиво Большая кружка Крепкое,0.0,0.0,4.8,54,21
Пиво Большая кружка Янтарное,0.0,0.0,3.4,34,21
Пиво Брама,0.0,0.0,4.5,45,21
Пиво Волга Янтарное Специальное,0.0,0.0,4.7,46,21
Пиво Жигулевское,0.0,0.0,4.6,42,21
Пиво Золотая бочка Классическое,0.0,0.0,4.0,45,21
Пиво Золотая бочка Разливное,0.0,0.0,4.1,48,21
Пиво Золотая бочка Светлое,0.0,0.0,4.6,42,21
Пиво Клинское Мохито,0.0,0.0,4.6,42,21
Пиво Клинское Светлое,0.0,0.0,4.6,42,21
Пиво Невское ICE,0.0,0.0,4.6,42,21
Пиво Невское Живое,0.0,0.0,4.2,45,21
Пиво Невское Классическое,0.0,0.0,4.7,46,21
Пиво Невское Оригинальное,0.0,0.0,5.3,50,21
Пиво Невское Светлое,0.0,0.0,4.6,42,21
Пиво Оболонь Lager,0.0,0.0,4.0,45,21
Пиво Оболонь Бархатное,0.0,0.0,4.9,53,21
Пиво Оболонь Белое,0.0,0.0,3.4,43,21
Пиво Оболонь Премиум,0.0,0.0,3.3,45,21
Пиво Оболонь Пшеничное,0.0,0.0,4.0,47,21
Пиво Оболонь Светлое,0.0,0.0,3.3,41,21
Пиво портер,0.0,0.0,4.9,61,21
Пиво светлое,0.3,0.0,4.6,42,21
Пиво светлое 1.8%,0.2,0.0,4.3,29,21
Пиво светлое 2.8%,0.6,0.0,4.8,37,21
Пиво светлое 4.5%,0.6,0.0,3.8,45,21
Пиво светлое живое,0.0,0.0,3.7,3,21
