name,protein,fats,carbs,calories,category
Овсяная каша Hipp с абрикосами и яблоками,0.5,0.2,13.0,59,30
Овсяная каша Nestle безмолочная,10.0,6.0,72.0,382,30
Овсяная каша Nestle молочная с грушей и бананом,14.0,10.0,65.0,406,30
Овсяная каша Nestle молочная с яблоком и абрикосом,14.0,10.0,65.0,406,30
Овсяная каша Малютка молочная с фруктами,12.7,14.0,65.8,440,30
Овсяная каша ФрутоНяня безмолочная с яблоками и ягодами,1.2,0.0,15.0,64,30
Овсяная кашка Heinz с молоком и бананом,12.0,8.7,69.1,403,30
Овсяная кашка ФрутоНяня молочная жидкая с бананом,2.1,2.0,9.2,62,30
Овсяно-пшеничная каша Малютка безмолочная с яблоком,9.2,3.6,80.3,390,30
Печенье детское бегемотик Бонди с железом,8.4,11.5,70.0,403,30
Печенье детское бегемотик Бонди с йодом,8.4,11.5,70.0,403,30
Печенье детское бегемотик Бонди с кальцием,8.4,11.4,70.0,401,30
Печенье детское Расти большой овсяное,8.0,11.0,73.0,424,30
Печенье детское Расти большой с бананом,8.0,11.0,73.0,423,30
Печеньице детское Heinz,8.5,8.5,79.0,427,30
Печеньице детское Heinz 6 злаков,8.5,8.5,79.0,427,30
Печеньице детское Heinz Какао,9.0,8.0,79.5,426,30
Пудинг Heinz бананчик яблочко в сливках,8.5,4.1,78.0,384,30
Пудинг Heinz фруктовое ассорти в сливках,8.2,5.2,76.3,385,30
Пудинг ФрутоНяня ванильный,2.6,3.2,11.5,85,30
Пудинг ФрутоНяня шоколадный,2.9,3.4,12.0,89,30
Пшеничная каша Nestle молочная с бананом,15.0,10.0,66.0,414,30
Пшеничная каша Nestle молочная с тыквой,15.0,10.0,66.0,414,30
Пшеничная каша Nestle молочная с яблоком,15.0,10.0,66.0,414,30
Пшеничная каша Малютка молочная с тыквой,12.3,11.3,69.3,428,30
Пшеничная каша ФрутоНяня молочная с фруктами,1.2,0.0,15.0,65,30
Пшеничная кашка Heinz с молоком и тыквой,12.0,5.7,73.3,392,30
Пшеничная кашка ФрутоНяня молочная жидкая,2.2,2.0,10.1,66,30
Пшенично-кукурузная кашка Heinz персик банан вишенка молочная,12.1,10.0,69.0,414,30
Пшенично-овсяная кашка Heinz с фруктиками без молока,8.1,2.1,80.0,372,30
Пюре Gerber Абрикос с творогом,1.3,3.2,13.5,90,30
Пюре Gerber Абрикос со сливками,1.0,3.5,13.0,90,30
Пюре Gerber Банан,0.9,0.3,18.5,80,30
Пюре Gerber Банан и лесные ягоды,0.1,0.3,17.4,98,30
Пюре Gerber Банан с творогом,1.4,3.2,13.5,90,30
Пюре Gerber Банан со сливками,1.2,3.2,13.5,90,30
Пюре Gerber Бефстроганов с овощами,2.8,2.9,7.0,70,30
Пюре Gerber Говядина по-домашнему с морковью,2.8,2.9,7.0,70,30
Пюре Gerber Груша со сливками,0.9,3.0,14.9,85,30
Пюре Gerber Груши Вильямс,0.6,0.2,12.3,53,30
Пюре Gerber Зелёный горошек,3.3,0.3,5.0,36,30
Пюре Gerber Индейка по-домашнему с фенхелем,2.9,3.1,8.0,75,30
Пюре Gerber Клубника с творогом,1.1,3.4,12.5,85,30
Пюре Gerber Клубника со сливками,1.0,3.2,12.5,85,30
Пюре Gerber Морковь,1.0,0.2,5.1,27,30
Пюре Gerber Овощи с фрикадельками из говядины,2.6,2.6,9.1,70,30
Пюре Gerber Персик со сливками,1.2,3.2,13.5,90,30
Пюре Gerber Рагу из индейки с рисом,2.8,2.6,8.0,70,30
Пюре Gerber Спагетти с цыпленком,3.5,3.0,7.5,75,30
Пюре Gerber Филе сайды с овощами и рисом,3.7,2.9,8.0,75,30
Пюре Gerber Чернослив,1.0,0.3,16.7,74,30
Пюре Gerber Яблоко абрикос банан,0.7,0.1,15.5,66,30
Пюре Gerber Яблоко и черника,0.4,0.4,10.1,46,30
Пюре Gerber Яблоко с лесными ягодами,0.5,0.4,9.8,45,30
Пюре Gerber Яблоко с шиповником,1.5,0.2,12.0,52,30
Пюре Бабушкино Лукошко Абрикос,0.0,0.0,9.0,36,30
Пюре Бабушкино Лукошко Брокколи,0.0,0.0,3.3,13,30
Пюре Бабушкино Лукошко Говядина,8.5,12.0,0.0,140,30
Пюре Бабушкино Лукошко Говядина Кабачок,5.5,6.0,7.6,130,30
Пюре Бабушкино Лукошко Говядина Овощи,3.0,6.0,5.0,86,30
Пюре Бабушкино Лукошко Говядина Тыква,5.5,6.0,6.1,130,30
Пюре Бабушкино Лукошко Говядина Цветная капуста,3.0,6.0,6.5,92,30
Пюре Бабушкино Лукошко Горбуша Картофель,4.5,5.0,10.0,110,30
Пюре Бабушкино Лукошко Груша,0.0,0.0,9.5,40,30
Пюре Бабушкино Лукошко Груша Творог,0.5,1.7,9.0,53,30
Пюре Бабушкино Лукошко Груша Яблоко,0.0,0.0,9.5,40,30
Пюре Бабушкино Лукошко Индейка,8.5,12.0,0.0,140,30
Пюре Бабушкино Лукошко Кабачок Молоко,2.1,4.0,8.8,80,30
Пюре Бабушкино Лукошко Кабачок-Морковь Молоко,2.1,4.0,11.0,88,30
Пюре Бабушкино Лукошко Конина,8.5,9.0,0.0,131,30
Пюре Бабушкино Лукошко Кролик,8.5,11.0,2.4,143,30
Пюре Бабушкино Лукошко Кролик Овощи,3.0,6.0,5.0,86,30
Пюре Бабушкино Лукошко Кролик Цветная капуста,3.0,6.0,6.5,92,30
Пюре Бабушкино Лукошко Морковь Яблоко,0.0,0.0,12.0,48,30
Пюре Бабушкино Лукошко Мясо цыплят с гречкой,5.5,6.0,6.6,130,30
Пюре Бабушкино Лукошко Оленина,8.5,9.0,0.0,131,30
Пюре Бабушкино Лукошко Персик Творог,0.5,1.7,9.0,53,30
Пюре Бабушкино Лукошко Сёмга Овощи,8.5,11.0,2.4,143,30
Пюре Бабушкино Лукошко Треска Картофель,4.5,5.0,10.0,110,30
Пюре Бабушкино Лукошко Тыква,0.0,0.0,4.6,18,30
