name,protein,fats,carbs,calories,category
Куриная грудка на пару,23.6,1.9,0.0,113,7
Куриная кожа,18.0,15.6,0.0,212,7
Куриная печень,19.1,6.3,0.6,136,7
Куриная печень вареная,25.9,6.2,2.0,166,7
Куриная печень жареная,30.8,8.9,2.0,210,7
Куриное сердце,15.8,10.3,0.8,159,7
Куриное сердце вареное,20.0,10.9,1.1,182,7
Куриное филе,23.1,1.2,0.0,110,7
Куриное филе Агрокомплекс,21.0,5.0,0.0,129,7
Куриное филе вареное,30.4,3.5,0.0,153,7
Куриное филе сыровяленое,52.8,9.0,0.0,292,7
Куриное филе-медальон Мираторг,13.3,8.1,15.5,188,7
Куриные бедра,21.3,11.0,0.1,185,7
Куриные желудки,18.2,4.2,0.6,114,7
Куриные крылышки,19.2,12.2,0.0,186,7
Куриные крылышки копченые,29.9,19.5,0.0,290,7
Куриные лапки,19.4,14.6,0.2,215,7
Куриные ножки маринованные,17.0,14.0,1.7,200,7
Куриные окорочка,16.8,10.2,0.0,158,7
Куриные окорочка копченые,10.0,20.0,0.0,220,7
Куриные потроха,18.3,5.2,1.4,130,7
Куриный рулет,16.0,26.0,0.0,310,7
Куриный суповой набор,16.5,12.6,0.4,181,7
Куриный фарш,17.4,8.1,0.0,143,7
Куриный фарш жирный,21.3,11.0,0.1,185,7
Курица,16.0,14.0,0.0,190,7
Курица вареная (без кожи),25.2,7.4,0.0,170,7
Курица жареная,26.0,12.0,0.0,210,7
Курица копченая,27.5,8.2,0.0,184,7
Куропатка,18.0,20.0,0.5,254,7
Куропатка жареная,29.0,8.0,0.0,250,7
Лангет,15.7,11.6,0.0,167,7
Лосятина,21.4,1.7,0.0,101,7
Лягушачьи лапки,16.4,0.3,0.0,73,7
Медвежье мясо,20.1,8.3,0.0,155,7
Мясо косули,21.4,6.0,0.0,138,7
Мясо соевое,52.0,1.0,17.6,296,7
Мясо цыпленка в собственном соку,15.0,16.0,0.0,204,7
Наггетсы куриные Мираторг классические,13.3,10.8,15.1,211,7
Наггетсы куриные Мираторг с ветчиной,13.3,13.1,14.5,229,7
Наггетсы куриные Мираторг с сыром,12.3,11.8,15.8,219,7
Наггетсы куриные Мираторг с сыром и грибами,13.0,12.4,15.7,226,7
Наггетсы куриные Мираторг хрустящие,12.9,12.1,15.6,223,7
Оленина,19.5,8.5,0.0,154,7
Оленина вареная,30.8,11.2,0.0,223,7
Оленина варено-прессованная,27.0,2.2,0.0,148,7
Оленина жареная,34.3,15.0,0.0,271,7
Оленина тушеная,25.0,10.9,0.0,198,7
Оленина тушеная Особая,10.0,4.3,2.9,81,7
Паштет Grand-Mere печеночный классический,8.1,33.0,4.4,339,7
Паштет Grand-Mere печеночный с грибами,7.6,30.0,4.4,314,7
Паштет Grand-Mere печеночный с зеленью,7.7,31.0,4.4,323,7
Паштет Grand-Mere печеночный с паприкой,7.6,30.0,4.4,314,7
Паштет из говяжьей печени,18.1,11.1,7.0,177,7
Паштет мясной,15.0,11.0,0.0,170,7
Паштет печеночный говяжий классический,9.4,18.7,2.5,217,7
Перепелка,21.8,4.5,0.0,134,7
Поросенок молочный,20.6,3.0,0.0,109,7
Прошутто,22.6,20.9,0.0,279,7
Ростбиф из говядины,26.4,6.8,0.0,173,7
Рябчик,18.0,20.0,0.5,254,7
Сало,2.4,89.0,0.0,797,7
Свиная вырезка,19.4,7.1,0.0,142,7
Свиная грудинка без кости,10.1,53.0,0.0,510,7
Свиная грудинка с костью,21.0,10.0,0.0,174,7
Свиная лопатка,16.0,21.7,0.0,257,7
Свиная нога жареная,27.0,20.0,0.0,290,7
Свиная печень,22.0,3.4,2.6,130,7
Свиная рулька со шкурой,18.6,24.7,0.0,294,7
Свиная тушенка,13.0,35.0,0.0,367,7
Свиная шейка,13.6,31.9,0.0,343,7
Свиная шкурка,18.0,16.0,0.0,216,7
Свиная щековина,6.4,69.6,0.0,494,7
Свиная щековина копченая,9.1,67.1,0.5,625,7
Свинина,16.0,21.6,0.0,259,7
Свинина вареная,22.6,31.6,0.0,375,7
Свинина жареная,11.4,49.3,0.0,489,7
Свинина постная,19.4,7.1,0.0,160,7
Свинина тушеная,9.8,20.3,3.2,235,7
Свинина тушеная Скопино,13.0,35.0,0.0,367,7
