name,protein,fats,carbs,calories,category
Барбарис,0.0,0.0,7.9,29,15
Боярышник,0.0,0.0,14.0,52,15
Брусника,0.7,0.5,9.6,43,15
Брусника 4 сезона,0.7,0.5,8.2,40,15
Брусника Hortex,0.7,0.4,7.5,36,15
Брусника мочёная,0.3,0.2,5.3,24,15
Бузина,0.7,0.5,11.4,73,15
Виноград,0.6,0.2,16.8,65,15
Голубика,1.0,0.0,8.2,35,15
Ежевика,2.0,0.0,6.4,31,15
Ежевика 4 сезона,2.1,0.4,4.6,31,15
Ежевика Hortex,2.0,0.0,3.8,23,15
Жимолость,0.0,0.0,7.8,30,15
Земляника,0.8,0.4,7.5,41,15
Ирга,0.0,0.0,12.0,45,15
Калина,0.0,0.0,7.0,26,15
Клубника,0.8,0.4,7.5,41,15
Клубника 4 сезона,0.8,0.1,6.6,34,15
Клубника Hortex,0.7,0.4,5.4,32,15
Клубника консервированная,0.6,0.3,16.1,65,15
Клюква,0.5,0.0,6.8,26,15
Клюква 4 сезона,0.5,0.2,3.9,18,15
Клюква Hortex,0.5,0.0,3.8,17,15
Княженика,0.0,0.0,7.0,26,15
Компотное ассорти Hortex с клубникой,1.1,0.3,3.2,52,15
Крыжовник,0.7,0.2,12.0,43,15
Лимонник,1.0,0.0,1.9,11,15
Логанова ягода,1.5,0.3,7.7,55,15
Малина,0.8,0.5,8.3,46,15
Малина 4 сезона,0.8,0.5,8.3,39,15
Можжевельник,0.0,0.0,31.0,116,15
Морошка,0.8,0.0,9.8,28,15
Облепиха,1.2,5.4,5.7,82,15
Облепиха Hortex,1.2,5.4,5.7,82,15
Рябина,1.5,0.1,10.9,50,15
Смородина белая,0.5,0.2,8.0,42,15
Смородина красная,0.6,0.2,7.7,43,15
Смородина чёрная,1.0,0.4,7.3,44,15
Смородина чёрная 4 сезона,1.0,0.2,6.1,28,15
Смородина чёрная Hortex,1.3,0.2,7.0,51,15
Фруктовая смесь Hortex с малиной,1.0,0.3,6.4,40,15
Черника,1.1,0.4,7.6,44,15
Черника 4 сезона,1.1,0.6,8.2,43,15
Черника Hortex,1.1,0.6,6.0,34,15
Черноплодная рябина,1.5,0.2,10.9,55,15
Шефердия серебристая,0.5,0.2,3.7,28,15
Шиповник,1.6,0.0,14.0,51,15
