name,protein,fats,carbs,calories,categories
Жир бараний топлёный,0.0,99.7,0.0,897,4
Жир говяжий топлёный,0.0,99.7,0.0,897,4
Жир из печени трески,0.0,99.8,0.0,898,4
Жир кондитерский для шоколадных изделий,0.0,99.7,0.0,897,4
Жир кондитерский твердый,0.0,99.8,0.0,898,4
Жир костный топлёный,0.0,99.7,0.0,897,4
Жир кулинарный,0.0,99.7,0.0,897,4
Жир куриный,0.0,99.7,0.0,897,4
Жир рыбий,0.0,100.0,0.0,902,4
Жир свиной топлёный,0.0,99.6,0.0,896,4
Маргарин низкокалорийный,0.5,60.0,0.7,545,4
Маргарин Славянский,0.3,82.0,0.1,743,4
Маргарин сливочный,0.5,82.0,0.0,745,4
Маргарин столовый молочный,0.3,82.0,1.0,743,4
Маргарин Экстра,0.5,82.0,1.0,744,4
Масло абрикосовое,0.0,99.9,0.0,899,4
Масло авокадо,0.0,100.0,0.0,884,4
Масло амаранта,0.0,81.8,0.0,736,4
Масло арахисовое,0.0,99.9,0.0,899,4
Масло арахисовое PB2 сухое обезжиренное,37.5,8.3,37.5,375,4
Масло виноградных косточек,0.0,99.9,0.0,899,4
Масло горчичное,0.0,99.8,0.0,898,4
Масло грецкого ореха,0.0,99.8,0.0,898,4
Масло зародышей пшеницы,0.0,100.0,0.0,884,4
Масло иланг-иланга,0.0,99.0,0.0,890,4
Масло какао,0.0,99.9,0.0,899,4
Масло канолы,0.0,99.0,0.0,898,4
Масло кедрового ореха,0.0,99.0,0.0,898,4
Масло кокосовое,0.0,99.9,0.0,899,4
Масло конопляное,0.0,99.9,0.0,899,4
Масло кукурузное,0.0,99.9,0.0,899,4
Масло кунжутное,0.0,99.9,0.0,899,4
Масло лимонное,0.0,100.0,0.0,900,4
Масло льняное,0.0,99.8,0.0,898,4
Масло макадамии,9.2,74.6,10.0,708,4
Масло маковое,0.0,99.8,0.0,898,4
Масло миндальное,0.0,90.7,0.0,816,4
Масло мускатного ореха,0.0,100.0,0.1,899,4
Масло облепиховое,0.0,99.5,0.0,896,4
Масло овсяное,0.0,99.0,0.0,890,4
Масло оливковое,0.0,99.8,0.0,898,4
Масло оливковое Tierras de Olivos Агро-Альянс,0.0,99.9,0.0,900,4
Масло ореховое,0.0,100.0,0.0,899,4
Масло пальмовое,0.0,99.9,0.0,899,4
Масло подсолнечное,0.0,99.9,0.0,899,4
Масло рапсово-соевое,0.0,99.9,0.0,899,4
Масло рапсовое,0.0,99.9,0.0,899,4
Масло растительное нерафинированное,0.0,99.0,0.0,899,4
Масло растительное рафинированное,0.0,99.0,0.0,899,4
Масло расторопши,0.0,98.0,0.0,889,4
Масло репейное,0.0,100.0,0.0,930,4
Масло сафлоровое,0.0,100.0,0.0,880,4
Масло сливочное,0.5,82.5,0.8,748,4
Масло сливочное 60%,1.3,60.0,1.7,552,4
Масло сливочное 67%,1.0,67.0,1.6,610,4
Масло сливочное Валио 82%,0.7,82.0,0.7,740,4
Масло сливочное крестьянское несолёное 72.5%,1.0,72.5,1.4,662,4
Масло сливочное крестьянское солёное 72.5%,1.0,72.5,1.4,662,4
Масло соевое,0.0,99.9,0.0,899,4
Масло топлёное,0.2,99.0,0.0,892,4
Масло тыквенное,0.0,99.5,0.0,896,4
Масло хлопковое,0.0,99.0,0.0,899,4
Масло ши (карите),0.0,98.0,0.0,884,4
Масло шишек хмеля,0.0,99.0,0.0,897,4
Масло шоколадное,1.5,62.0,18.6,642,4
Спред растительно-жировой Нежный,0.0,40.0,0.0,360,4
Тахина,24.0,62.0,10.0,695,4
