name,protein,fats,carbs,calories,category,17
Пирожное Йогуртовое,7.0,24.6,26.1,352,17
Пирожное Кармен,2.9,19.4,52.8,390,17
Пирожное Картошка с карамельной начинкой,3.7,20.0,47.6,355,17
Пирожное Картошка с кремом,4.3,19.7,48.9,392,17
Пирожное Коктейль,2.0,13.8,59.5,384,17
Пирожное Корзиночка крем-брюле,2.8,21.5,46.2,392,17
Пирожное Корзиночка с белковым кремом,1.9,13.7,59.3,372,17
Пирожное Корзиночка с грибочками,1.0,27.5,54.9,461,17
Пирожное Корзиночка с клубничкой,1.2,22.4,55.8,434,17
Пирожное Корзиночка с фруктами,0.8,17.3,42.5,380,17
Пирожное Корзиночка со сливками и конфитюром,0.7,18.7,48.4,365,17
Пирожное Медвежонок Барни с шоколадной начинкой,5.8,15.2,59.1,390,17
Пирожное Орешек,5.8,16.5,49.1,397,17
Пирожное Песочное кольцо с орехами,4.8,9.2,55.3,420,17
Пирожное Полено,4.8,22.2,47.1,368,17
Пирожное Творожное кольцо,11.2,16.7,24.8,326,17
Пирожное Трубочка с кремом,1.7,25.2,50.9,454,17
Пирожное Эклер с кремом,3.2,30.8,36.2,439,17
Пирожок песочный с повидлом,5.9,21.1,56.3,437,17
Пишмание,3.3,12.0,83.3,455,17
Повидло абрикосовое,0.3,0.0,64.0,242,17
Повидло апельсиновое,0.5,0.1,41.5,254,17
Повидло вишневое,0.5,0.1,95.4,250,17
Повидло грушевое,0.1,0.1,56.8,215,17
Повидло из киви,0.2,0.3,35.4,136,17
Повидло из крыжовника,1.0,0.0,46.0,181,17
Повидло из чёрной смородины,1.0,0.0,73.0,284,17
Повидло клубничное,0.5,0.1,61.5,244,17
Повидло малиновое,0.0,0.0,57.1,231,17
Повидло сливовое,0.6,0.5,73.6,285,17
Повидло яблочное,0.4,0.0,40.0,190,17
Подушечки хрустящие с молочной начинкой,7.6,15.5,66.2,435,17
Пражский пай Сдобная особа земляника,4.7,18.0,54.5,398,17
Пражский пай Сдобная особа карамель,4.9,19.5,55.7,424,17
Пражский пай Сдобная особа шоколадно-ореховый,5.1,19.0,55.0,418,17
Профитроли,9.6,16.0,18.7,253,17
Пряник Тульский,5.8,6.5,71.6,364,17
Пряник Тульский купеческий,7.3,8.6,68.2,380,17
Пряник Тульский с цукатами,5.5,6.8,71.4,363,17
Пряник Тульский шоколадный,9.1,7.8,67.2,381,17
Пряники Имбирные,5.9,6.5,70.5,353,17
Рахат-лукум,0.8,0.7,79.4,316,17
Рахат-лукум Пеко Калейдоскоп,0.0,0.0,81.8,314,17
Рахат-лукум Пеко Мозаика,0.0,0.0,82.0,314,17
Рахат-лукум Пеко Цитрусовый,0.0,0.0,81.8,314,17
Рахат-лукум с фисташками,0.9,1.0,83.0,327,17
Рулет Лимон,6.3,14.0,39.4,311,17
Рулет Майский Черёмушки с маком и изюмом,7.3,9.3,55.0,333,17
Рулет Сдобная особа с курагой,5.6,13.1,51.9,346,17
Рулет Сдобная особа с лимоном,4.9,10.9,55.4,335,17
Рулет Сдобная особа с маковой начинкой,6.8,14.2,46.7,340,17
Рулет Сдобная особа с черносливом и орехом,5.6,15.9,52.0,371,17
Рулет Сдобная особа с шоколадной начинкой,5.4,17.5,50.4,377,17
Рулет Черника,7.0,10.4,41.6,288,17
Рулетик Черёмушки с вишней,5.5,6.3,53.5,292,17
Рулетик Черёмушки с курагой,8.6,9.8,53.9,339,17
Рулетик Черёмушки с яблоком,7.0,6.3,57.9,318,17
Слойка Коса Русская,7.4,12.3,50.7,344,17
Слойка Круассан с варёной сгущёнкой,2.3,20.4,53.2,335,17
Слойка Ракушка,5.6,13.0,51.0,343,17
Слойка Ракушка с шоколадом,5.3,14.1,51.7,356,17
Слойка с сыром,12.3,16.5,43.7,376,17
Слойка Свердловская Черёмушки,7.3,13.3,51.1,353,17
Слойка Улитка,6.5,15.2,48.0,354,17
Слойка Улыбка,16.3,10.1,53.6,376,17
Соломка сладкая,9.1,6.1,69.3,372,17
Соломка соленая,9.4,4.5,67.0,347,17
Сочник,10.1,8.8,40.5,274,17
Суфле Бон Пари,4.2,0.0,76.6,323,17
Сухари диабетические,10.5,5.7,73.1,388,17
Сухари к чаю,10.0,2.3,73.8,397,17
Сухари с изюмом,8.4,4.9,78.5,395,17
Сухари с сахаром,9.5,4.2,72.1,368,17
Сухари с цукатами,9.7,3.5,80.3,384,17
Сухари сливочные,9.7,9.1,72.9,414,17
Тесто для пельменей,7.9,1.4,50.6,234,17
Тесто дрожжевое постное,5.8,6.4,49.3,274,17
Тесто кадаиф,7.9,1.4,50.6,234,17
Тесто песочное,6.5,21.6,49.9,403,17
Тесто пресное,9.0,3.0,40.6,225,17
