name,protein,fats,carbs,calories,category
Творог Простоквашино 5% классический,16.0,5.0,3.0,121,12
Творог Простоквашино 9% классический,16.0,9.0,3.0,157,12
Творог Савушкин продукт 0% обезжиренный Мягкий Нежный,7.0,0.0,1.0,32,12
Творог Савушкин Хуторок 1%,18.0,1.0,1.3,86,12
Творог Серышевский обезжиренный,18.0,1.8,3.3,85,12
Творог Тофу,8.1,4.2,0.6,73,12
Творожная масса,7.1,23.0,27.5,341,12
Творожная масса с изюмом,6.8,21.6,29.9,343,12
Творожная масса с курагой,9.0,23.0,29.0,357,12
Творожный продукт Снеда Домашний рассыпчатый 12%,6.0,12.0,1.8,139,12
Творожный продукт Чудо со вкусом ванили с шоколадным соусом,4.2,5.6,17.3,136,12
Творожок Чудо вишня-черешня,4.4,4.0,20.2,134,12
Творожок Чудо киви-банан,4.4,4.2,16.9,123,12
Творожок Чудо клубника,4.4,4.2,18.6,130,12
Творожок Чудо клубника-земляника,4.4,4.0,19.4,131,12
Творожок Чудо персик-груша,4.4,4.2,18.9,131,12
Творожок Чудо черника,4.4,4.2,19.0,131,12
Творожок Чудо шоколад,4.4,4.2,19.1,132,12
