name,protein,fats,carbs,calories,categories
7up,0.0,0.0,8.7,38.0,22
Вода,0.0,0.0,0.0,,22
Вода минеральная,0.0,0.0,0.0,,22
Вода содовая,0.0,0.0,0.0,,22
Горячий шоколад Fit Parad,3.0,5.5,42.0,230.0,22
Какао Dr.Oetker,22.0,11.0,12.0,235.0,22
Какао тёртое,13.5,54.0,17.8,607.0,22
Какао-порошок,24.2,17.5,31.9,374.0,22
Какао-порошок обезжиренный 0-1%,30.0,0.9,11.0,179.0,22
Квас Очаковский,0.0,0.0,5.5,30.0,22
Квас хлебный,0.2,0.0,5.2,27.0,22
Кислородный коктейль Экотейль,7.0,0.0,83.0,360.0,22
Кола,0.0,0.0,10.4,42.0,22
Кола лайт,0.0,0.0,0.0,,22
Кофе Maxwell House гранулированный сухой,14.6,0.0,10.3,100.0,22
Кофе Maxwell House растворимый сухой,14.6,0.0,10.3,100.0,22
Кофе жареный в зёрнах сухой,13.9,14.4,15.6,223.0,22
Кофе зелёный сухой,12.3,0.2,35.7,222.0,22
Кофе латте макиато,1.5,1.4,2.0,29.0,22
Кофе мокаччино,2.8,10.6,46.5,289.0,22
Кофе натуральный молотый сухой,13.9,14.4,4.1,201.0,22
Кофе по-ирландски,0.0,4.5,4.0,114.0,22
Кофе Президент молотый сухой,13.9,14.4,2.8,218.0,22
Кофе растворимый сухой,15.0,3.5,0.0,94.0,22
Кофе с молоком и сахаром,0.7,1.0,11.2,58.0,22
Кофе со сгущенным молоком,0.7,0.9,10.9,55.0,22
Кофе со сгущенным молоком и сахаром,0.6,0.6,13.6,62.0,22
Кофе черный,0.2,0.0,0.3,2.0,22
Кофе Чибо растворимый сухой,18.1,0.7,46.3,264.0,22
Кофейный напиток,6.0,4.8,71.2,337.0,22
Кофейный напиток iCafe Iced French Vanilla Coffe,1.0,1.2,7.1,43.0,22
Кофейный напиток iCafe Iced Mocha,1.2,1.2,9.2,52.0,22
Кофейный напиток MacCoffee растворимый Оригинальный 3 в 1,3.0,8.0,86.0,420.0,22
Кофейный напиток Nescafé Xpress Choko Latte,1.4,1.2,8.3,52.0,22
Кофейный напиток Nescafé Xpress Vanilla,1.4,1.3,8.3,51.0,22
Лёд колотый,0.0,0.0,0.0,,22
Лимонад,0.0,0.0,6.4,26.0,22
Лимонад диетический,0.0,0.0,0.0,2.0,22
Миринда,0.0,0.0,7.5,31.0,22
Морс брусничный,0.1,0.0,10.7,41.0,22
Напиток Aqua Minerale Active,0.0,0.0,4.5,18.0,22
Напиток BonAqua Viva,0.0,0.0,4.6,19.0,22
Напиток Nestea Vitao Белый чай со вкусом абрикоса,0.0,0.0,6.3,26.0,22
Напиток Nestea Vitao Зеленый чай со вкусом клубники и Алое Вера,0.0,0.0,7.5,32.0,22
Напиток Nestea Вкус лесных ягод,0.0,0.0,7.8,33.0,22
Напиток Nestea Вкус лимона,0.0,0.0,7.5,31.0,22
Напиток Nestea Вкус персика,0.0,0.0,6.8,29.0,22
Огуречный рассол,0.0,0.0,0.3,12.0,22
Пепси,0.0,0.0,8.7,38.0,22
Пиво Балтика №0 Безалкогольное,0.0,0.0,6.1,33.0,22
Пиво безалкогольное,0.0,0.0,4.7,26.0,22
Пиво Оболонь Безалкогольное,0.0,0.0,4.1,22.0,22
Пиво Сибирская корона Безалкогольное,0.0,0.0,4.7,26.0,22
Спрайт,0.1,0.0,7.0,29.0,22
Тоник,0.0,0.0,8.3,34.0,22
Фанта,0.0,0.0,11.7,48.0,22
Фанта Вкус ананаса,0.0,0.0,12.9,52.0,22
Цикорий растворимый,0.1,0.0,2.8,11.0,22
Цикорий растворимый сухой,4.0,0.0,68.0,288.0,22
Чай жёлтый сухой,20.0,5.1,4.0,141.0,22
Чай зелёный,0.0,0.0,0.0,,22
Чай каркаде,0.3,0.0,0.6,5.0,22
Чай каркаде сухой,1.9,0.1,12.3,49.0,22
Чай красный сухой,20.0,5.1,6.9,152.0,22
Чай масала сухой,15.0,15.0,45.0,379.0,22
Чай молочный улун (оолонг) сухой,20.1,5.1,4.0,140.0,22
Чай пуэр сухой,20.0,5.1,6.9,152.0,22
Чай ройбос (ройбуш) сухой,0.8,0.8,1.2,16.0,22
Чай связанный сухой,20.0,5.1,4.0,141.0,22
Чай чёрный байховый сухой,20.0,5.1,6.9,152.0,22
Чай чёрный без сахара,0.1,0.0,0.0,,22
Чай чёрный с лимоном и сахаром,0.2,0.1,7.1,28.0,22
Чай чёрный с молоком и сахаром,0.7,0.8,8.2,43.0,22
Энергетический напиток Adrenaline Nature,0.0,0.0,12.4,50.0,22
Энергетический напиток Adrenaline Rush,0.5,0.0,13.0,52.0,22
Энергетический напиток Burn,0.0,0.0,11.6,49.0,22
Энергетический напиток Burn Intense Energy,0.0,0.0,14.3,61.0,22
Энергетический напиток Red Bull,0.0,0.0,11.3,45.0,22
Энергетический напиток Tiger,0.0,0.0,10.8,46.0,22
