name,protein,fats,carbs,calories,category
Слива 4 сезона без косточки,0.8,0.2,7.7,34,13
Тамарилло,0.0,0.0,12.5,50,13
Танжело,1.0,1.0,13.0,70,13
Танжерин,0.8,0.3,11.5,53,13
Тёрн,1.5,0.3,9.4,54,13
Фейхоа,1.0,1.0,11.0,49,13
Ферония (Деревянное яблоко),0.3,0.2,12.0,50,13
Фруктовая смесь 4 сезона,0.9,0.0,7.7,34,13
Фрукты,0.6,0.2,12.9,56,13
Хурма,0.5,0.3,15.3,66,13
Хурма виргинская,0.5,0.4,15.3,67,13
Цабр,0.7,0.5,6.0,41,13
Цитрон,0.9,0.1,3.0,34,13
Цитрон Рука Будды,0.9,0.1,3.0,34,13
Чемпедак,2.1,0.6,26.1,117,13
Черешня,1.1,0.4,11.5,50,13
Черимойя,1.7,0.6,15.4,74,13
Чупа-чупа (Матизия сердечная),0.5,0.3,15.2,64,13
Шелковица,0.7,0.0,13.6,52,13
Яблоко,0.4,0.4,9.8,47,13
Яблоко Голден,0.5,0.2,10.7,53,13
Яблоко Гренни Смит,0.4,0.4,9.7,48,13
Яблоко печёное кисло-сладкое,0.5,0.5,12.3,59,13
Яблоко печёное сладкое,0.5,0.3,24.0,89,13
Яблоко Фуджи,0.4,0.2,19.1,71,13
Яблочный жмых,0.3,0.2,10.4,46,13
