name,protein,fats,carbs,category
Мороженое Dove Vanilla,3.8,21.7,30.5,333,18
Мороженое Nestle Extreme Пломбир с чёрной смородиной,2.6,12.6,35.5,262,18
Мороженое Nestle Extreme Тропик,2.4,7.5,39.0,236,18
Мороженое Nestle Maxibon с печеньем и орехами,3.6,15.0,39.2,307,18
Мороженое Nestle Maxibon Страчателла,3.6,15.0,39.4,307,18
Мороженое Viva la Crema Грецкий орех,4.1,13.0,27.1,245,18
Мороженое Viva la Crema Лесная ягода,3.2,8.2,29.4,205,18
Мороженое Viva la Crema Персик-маракуйя,3.3,8.4,29.7,209,18
Мороженое Viva la Crema Тартюфо,3.9,13.0,27.7,243,18
Мороженое Viva la Crema Трюфель,2.5,9.6,27.6,210,18
Мороженое Viva la Crema Фисташковое,4.1,13.9,24.6,239,18
Мороженое Viva la Crema Шварцвальдская вишня,1.7,16.4,29.7,273,18
Мороженое Инмарко Золотой стандарт пломбир,3.9,15.0,20.4,232,18
Мороженое Инмарко Торжество пломбир натуральные сливки,3.9,15.0,20.4,232,18
Мороженое Инмарко Торжество Птичье молоко,3.7,12.9,30.0,251,18
Мороженое Инмарко Торжество с клубничным чизкейком,3.9,8.3,29.3,208,18
Мороженое Магнат Брюнетка,4.3,17.4,29.9,293,18
Мороженое Магнат Мадагаскар тёмный шоколад,4.0,18.5,26.1,287,18
Мороженое Магнат пломбир,4.3,20.1,26.7,305,18
Мороженое молочное,3.2,3.5,21.3,126,18
Мороженое молочное клубничное,3.8,2.8,22.2,123,18
Мороженое молочное крем-брюле,3.5,3.5,23.1,134,18
Мороженое молочное ореховое,5.4,6.5,20.1,157,18
Мороженое молочное шоколадное,4.2,3.5,23.0,138,18
Мороженое пломбир,3.2,15.0,20.8,227,18
Мороженое пломбир крем-брюле,3.0,15.0,23.0,235,18
Мороженое пломбир ореховый,5.2,18.0,19.9,259,18
Мороженое пломбир шоколадный,3.6,15.0,22.3,236,18
Мороженое Русский Холодъ Золотой пломбир,3.8,12.0,20.4,205,18
Мороженое Русский Холодъ Юбилейное ванильное,3.7,12.0,20.4,204,18
Мороженое Русский Холодъ Юбилейное эскимо без глазури,3.7,13.2,20.4,215,18
Мороженое сливочное,3.3,10.0,19.8,179,18
Мороженое сливочное клубничное,3.8,8.0,20.9,165,18
Мороженое сливочное крем-брюле,3.5,10.0,21.6,186,18
Мороженое сливочное ореховое,5.5,13.0,18.6,210,18
Мороженое сливочное шоколадное,3.5,10.0,21.5,188,18
Мороженое Талосто Ля Фам крем-брюле,4.5,13.7,32.0,262,18
Мороженое Фифти-фифти Птичье молоко,9.6,10.8,19.4,213,18
Мороженое Чистая Линия Cемейное пломбир ванильное,3.7,12.0,20.5,205,18
Мороженое Экзо Арбуз и дыня,1.9,3.9,28.7,166,18
Мороженое Экзо Черника и ежевика,1.9,3.9,28.7,166,18
Мороженое эскимо,3.5,20.0,19.6,270,18
