name,protein,fats,carbs,calories,category
Сарада Шиитакэ ремонэ,1.7,0.3,15.5,73,29
Сарада Эби уми,5.0,0.8,20.6,110,29
Сарада Югатами хару,7.3,4.0,8.7,100,29
Сашими Изуми-тай,11.6,2.2,1.1,71,29
Сашими Ика,11.3,1.5,1.3,63,29
Сашими Икура,10.6,3.5,1.1,80,29
Сашими Магуро,15.3,2.8,1.1,91,29
Сашими Сякэ,12.5,5.0,1.1,73,29
Сашими Тако,5.6,1.2,1.1,37,29
Сашими Тобико,9.4,3.3,1.5,72,29
Сашими Томаго-яки,7.2,12.1,2.4,147,29
Сашими Унаги,9.3,19.0,1.8,215,29
Сашими Хамачи,10.2,6.7,1.1,106,29
Сашими Хотатэ,5.0,1.5,2.3,42,29
Сашими Эби,11.3,0.7,1.6,58,29
Суп Шаксфин,2.0,1.1,5.6,41,29
Суп Бута рамен,3.6,4.1,6.1,76,29
Суп Гёдза мисо,3.4,4.9,6.5,83,29
Суп Икинацу мисо,0.3,0.3,6.1,28,29
Суп Исикари мисо,2.6,5.2,6.6,84,29
Суп Каники мисо,2.0,2.8,6.3,59,29
Суп Кимчи тиге,2.2,3.8,5.4,65,29
Суп Мангэцу куриму,5.0,4.0,11.0,101,29
Суп Мисо сиру,2.1,1.2,11.7,66,29
Суп Самуй сиру,2.0,3.0,6.9,62,29
Суп Суймоно,1.9,1.1,11.6,62,29
Суп Сякэ тядзукэ,2.4,2.8,4.0,51,29
Суп Темпура дзосуй,3.0,1.3,8.5,58,29
Суп Тори рамэн,1.9,1.7,8.2,55,29
Суп Удзура тамаго,2.6,1.1,7.3,50,29
Суп Хакусай бекон куриму,2.5,4.1,7.1,76,29
Суп Эби тай сиро,4.7,2.4,11.2,85,29
Суп Эби чили мисо,1.8,3.0,7.6,65,29
Суши Изуми-тай,8.4,1.6,15.2,108,29
Суши Ика,8.4,1.2,16.0,108,29
Суши Икура,13.6,5.5,15.6,161,29
Суши Инари кунсэй,11.0,8.6,11.5,151,29
Суши Инари магуро,10.7,9.3,11.3,172,29
Суши Инари сякэ,9.6,10.0,11.3,173,29
Суши Инари унаги,8.4,15.0,11.3,213,29
Суши Инари хамачи,9.6,10.0,11.3,173,29
Суши Инари хотатэ,6.9,8.1,11.8,147,29
Суши Кани,8.4,0.8,15.2,101,29
Суши Магуро,11.2,2.4,15.2,126,29
Суши Супайсу кани,7.3,12.3,13.3,193,29
Суши Супайсу магуро,9.3,13.3,13.3,209,29
Суши Супайсу сякэ,8.0,14.6,13.3,216,29
Суши Супайсу унаги,6.3,16.0,13.3,222,29
Суши Супайсу хамачи,7.0,15.3,13.3,218,29
Суши Супайсу хотатэ,4.0,12.7,14.0,183,29
Суши Супайсу шиитакэ,3.6,16.0,14.6,216,29
Суши Супайсу эби,7.3,12.3,13.6,193,29
Суши Сякэ,9.2,3.6,15.2,129,29
Суши Сякэ кунсей,10.4,5.6,15.2,152,29
Суши Тако,4.0,1.2,15.2,87,29
Суши Тамаго-яки,5.2,7.2,16.0,149,29
Суши Тобико,12.8,4.0,15.6,149,29
Суши Унаги,7.2,12.8,15.2,204,29
Суши Хамачи,8.0,4.8,15.2,136,29
Суши Хияши,5.0,3.6,15.6,114,29
Суши Хотатэ,3.6,1.6,16.0,93,29
Суши Эби,7.0,0.8,15.6,97,29
Сякэ тэрияки,12.9,5.2,16.2,168,29
Тамагояки тяхан,5.8,5.4,11.1,116,29
Тонкацу тяхан,1.9,1.2,25.3,120,29
Тори папурика,8.3,10.3,10.3,167,29
Уми каигара,4.6,2.8,15.6,106,29
Умисай гюнику,9.9,5.1,9.2,122,29
Унайдзю,6.5,8.0,10.8,142,29
Харусамэ тамагояки,7.7,2.5,20.5,135,29
Хорэнсо сяке,26.6,8.1,3.8,154,29
Хотатэ фурай,7.0,3.6,13.0,128,29
Широми фурай,7.5,5.1,8.2,108,29
Эби папурика,7.0,9.0,8.7,143,29
Эби рамэн яки,7.1,3.3,20.1,139,29
Ясай темпура,2.9,4.5,7.4,83,29
Ясай шитаке удон,2.3,2.7,21.6,120,29
