name,protein,fats,carbs,calories,categories
Абрикосовый компот,0.5,0.0,21.0,85,23
Абрикосовый сок,0.9,0.1,9.0,38,23
Айвовый компот,0.4,0.0,20.0,79,23
Айвовый сок,0.5,0.0,10.6,45,23
Ананасовый компот,0.1,0.1,14.0,71,23
Ананасовый нектар,0.1,0.0,12.9,54,23
Ананасовый сок,0.3,0.1,11.4,48,23
Апельсиновый нектар,0.3,0.0,10.1,43,23
Апельсиновый сок,0.9,0.2,8.1,36,23
Арбузный сок,0.6,0.1,5.9,38,23
Банановый сок,0.0,0.0,12.0,48,23
Березовый сок,0.1,0.0,5.8,24,23
Бузинный сок,1.1,0.2,5.1,27,23
Виноградный компот,0.5,0.0,19.7,77,23
Виноградный сок,0.3,0.0,14.0,54,23
Вишнёвый компот,0.6,0.0,24.5,99,23
Вишнёвый нектар,0.1,0.0,12.0,50,23
Вишнёвый сок,0.7,0.0,10.2,47,23
Гранатовый сок,0.3,0.0,14.5,64,23
Грейпфрутовый нектар,0.2,0.0,10.4,44,23
Грейпфрутовый сок,0.9,0.2,6.5,30,23
Грушевый компот,0.2,0.0,18.2,70,23
Грушевый нектар,0.1,0.1,8.8,37,23
Грушевый сок,0.4,0.3,11.0,46,23
Гуавовый сок,0.1,0.1,13.9,57,23
Земляничный сок,0.0,0.0,10.0,41,23
Кисель из вишневого сока,0.2,0.0,18.9,78,23
Кисель из клюквы,0.0,0.0,13.0,53,23
Кисель из кураги,0.4,0.0,12.9,54,23
Кисель из сливового варенья,0.1,0.0,15.5,63,23
Кисель из сушеных яблок,0.1,0.0,16.3,66,23
Кисель из яблок,0.1,0.1,23.7,97,23
Клубничный сок,0.6,0.4,7.0,31,23
Клюквенный сок,0.4,0.3,11.0,46,23
Компот из сухофруктов без сахара,0.8,0.0,14.2,60,23
Лаймовый сок,0.0,0.0,8.2,25,23
Лимонный сок,0.9,0.1,3.0,16,23
Малиновый сок,0.8,0.0,24.7,100,23
Манговый сок,0.0,0.0,13.5,54,23
Мандариновый компот,0.1,0.0,18.1,69,23
Мандариновый сок,0.8,0.3,8.1,36,23
Морковный сок,1.1,0.1,6.4,28,23
Морковный сок Золотая Русь экзотик,0.0,0.0,11.0,44,23
Нектар из маракуйи,0.2,0.0,9.8,41,23
Нектар тыквенный Удачный,0.0,0.0,12.0,48,23
Нектариновый нектар,0.1,0.0,12.8,53,23
Нектариновый сок,0.4,0.0,8.6,37,23
Облепиховый сок,0.6,3.4,4.3,52,23
Огуречный сок,0.8,0.1,2.5,14,23
Персиковый компот,0.5,0.0,19.9,78,23
Персиковый нектар,0.2,0.0,9.0,38,23
Персиковый сок,0.9,0.1,9.5,40,23
Свекольный сок,1.0,0.0,9.9,42,23
Сливовый компот,0.5,0.0,23.9,96,23
Сливовый нектар,0.1,0.0,11.0,46,23
Сливовый сок,0.8,0.0,9.6,39,23
Сок киви,0.0,0.3,10.0,41,23
Сок нони,0.1,0.3,10.0,44,23
Сок овощная смесь Золотая Русь,0.0,0.0,5.0,20,23
Сок овощная смесь Тонус Active,0.0,0.0,6.2,25,23
Сок овощной Mr. Овощ с солью сладким перцем и чесноком,0.0,0.0,5.0,20,23
Сок папайи,0.4,0.1,13.3,51,23
Сок петрушки,3.7,0.4,7.6,49,23
Сок сельдерея,0.7,0.3,4.8,31,23
Томатный сок,1.1,0.2,3.8,21,23
Томатный сок J-7 с мякотью,0.2,0.0,5.3,22,23
Тыквенный сок,0.0,0.0,9.0,38,23
Черешневый компот,0.5,0.0,19.9,78,23
Черничный сок,0.0,1.0,8.0,38,23
Черноплодно-рябиновый сок,0.1,0.0,7.4,32,23
Черносмородиновый компот,0.3,0.1,13.9,58,23
Черносмородиновый сок,0.5,0.0,7.9,40,23
Шиповниковый сок,0.1,0.0,17.6,70,23
Яблочный компот,0.2,0.0,22.1,85,23
Яблочный нектар,0.1,0.0,10.0,41,23
Яблочный сок,0.4,0.4,9.8,42,23
