name,protein,fats,carbs,calories,category
Аньолотти,10.0,1.1,71.5,344,6
Баветте,11.0,1.3,70.5,351,6
Блины,6.1,12.3,26.0,233,6
Блины с ветчиной,8.9,13.5,33.9,292,6
Блины с ветчиной и сыром,14.3,20.2,35.3,382,6
Блины с грибами,6.7,9.9,21.0,218,6
Блины с красной икрой,12.7,15.2,33.7,324,6
Блины с маслом,8.0,15.2,40.6,332,6
Блины с мёдом,7.2,13.5,50.4,350,6
Блины с сёмгой,11.2,14.9,33.8,313,6
Блины с сыром,11.4,18.3,34.3,348,6
Блины со сгущеным молоком,8.1,12.4,41.7,324,6
Блины со сметаной,7.1,16.3,34.3,311,6
Бораки,13.7,12.0,30.7,277,6
Букатини,12.0,1.2,71.0,350,6
Вареники от Ильиной с вишней,7.6,0.0,18.7,105,6
Вареники от Ильиной с картофелем,4.4,3.7,18.5,125,6
Вареники от Ильиной с клубникой,7.9,0.0,17.6,205,6
Вареники от Ильиной с творогом,12.0,4.2,17.0,154,6
Вареники от Ильиной с черникой,7.6,0.0,18.7,105,6
Вареники Хвалынские с картошкой и грибами,6.0,3.6,32.0,184,6
Вермишель Myllyn Paras,10.4,1.1,71.5,344,6
Вермишель Бефстроганов соевая,48.9,2.3,8.9,254,6
Зити,12.0,1.2,71.0,330,6
Капеллини,13.0,1.5,70.2,346,6
Клецки,5.0,4.8,25.8,160,6
Конкильони,10.4,1.1,71.5,344,6
Лапша Buitoni La Rasagnole Феттучине,13.5,4.0,69.0,370,6
Лапша Buitoni Тальятелле Гнезда,13.5,4.0,69.0,370,6
Лапша Buitoni Феттучине Гнезда,11.5,1.9,71.8,350,6
Лапша гречневая SOBA,14.7,0.9,70.5,348,6
Лапша домашняя,12.0,3.7,60.1,322,6
Лапша рамен,10.4,1.1,69.7,337,6
Лапша рисовая Midori крупная,0.1,1.2,84.9,330,6
Лапша рисовая Сэн Сой,7.0,0.0,79.0,344,6
Лапша Роллтон,8.8,20.7,56.7,448,6
Лапша удон,10.4,1.1,69.7,337,6
Лапша харусаме,0.0,0.0,88.1,352,6
Лингуине,12.0,1.2,71.0,350,6
Листы для лазаньи,12.0,1.5,72.2,350,6
Листы для лазаньи Barilla,12.0,1.5,72.2,350,6
Листы для лазаньи Buitoni,11.5,1.9,71.8,350,6
Макароны Buitoni Бантики трехцветные,11.7,1.7,71.3,347,6
Макароны Buitoni Каннеллони крупные,11.5,1.9,71.8,350,6
Макароны Buitoni Спиральки трехцветные,11.7,1.7,71.3,347,6
Макароны вареные с жиром,3.4,5.0,19.0,135,6
Макароны высшего сорта,10.4,1.1,69.7,337,6
Макароны высшего сорта вареные,3.5,0.4,23.2,112,6
Макароны запеченные с яйцом,4.6,8.3,14.8,152,6
Макароны из полбы цельнозерновые,16.9,2.4,67.8,361,6
Макароны Макфа,10.4,1.1,71.5,344,6
Макароны Макфа гречневые,14.1,1.0,70.9,350,6
Макароны Макфа цельнозерновые,13.9,1.4,73.1,361,6
Макароны молочные,11.5,2.9,67.1,345,6
Макароны первого сорта,10.7,1.3,68.4,335,6
Макароны яичные,11.3,2.1,68.0,345,6
Мафальдине,12.0,1.5,72.2,350,6
Мука амарантовая,8.9,1.7,61.7,298,6
Мука арахисовая,25.0,47.0,14.5,590,6
Мука блинная,10.1,1.8,69.7,336,6
Мука гороховая,21.0,2.0,49.0,298,6
Мука гречневая блинная Myllyn Paras,13.0,1.7,67.5,340,6
Мука гречневая Гарнец,12.6,2.6,68.0,334,6
Мука гречневая диетическая,13.6,1.2,73.7,367,6
Мука гречневая Рязаночка,13.6,1.2,71.9,353,6
Мука гречневая С.Пудовъ,14.0,1.0,70.0,350,6
Мука для пиццы Myllyn Paras,12.9,2.0,68.4,350,6
Мука из зародышей пшеницы,33.9,7.7,32.8,335,6
Мука из овсяных отрубей,18.0,7.1,45.3,320,6
Мука из семян чёрного кунжута Житница здоровья,26.3,21.3,16.3,375,6
Мука кедровая,31.0,19.0,33.0,432,6
Мука кокосовая,20.0,16.6,60.0,466,6
Мука кокосовая Coconut Secret,25.0,10.7,64.3,443,6
Мука кокосовая Nutiva безглютеновая,22.0,11.0,17.0,250,6
Мука конопляная,30.0,7.9,24.7,290,6
Мука кукурузная Гарнец,8.0,1.0,75.0,330,6
Мука кукурузная диетическая,7.2,1.5,70.2,330,6
Мука кукурузная тонкого помола С.Пудовъ,7.0,1.5,72.0,330,6
Мука кунжутная,45.0,12.0,32.0,462,6
Мука льняная,36.0,10.0,9.0,270,6
