name,protein,fats,carbs,calories,category
Actimel Вишня,2.9,1.5,11.5,74,5
Actimel Гранат,2.7,1.5,11.5,73,5
Actimel Земляника и шиповник,2.7,1.5,11.5,73,5
Actimel Клубника,2.7,1.5,11.5,72,5
Actimel Малина и клюква,2.7,1.5,11.5,72,5
Actimel Мультифрукт,2.7,1.5,12.0,75,5
Actimel Натуральный,2.8,1.6,10.5,71,5
Actimel Черника и ежевика,2.9,1.5,11.5,74,5
Fruttis Сливочное лакомство Клубника-Земляника,2.2,5.0,17.0,122,5
Neo Имунеле Natural,1.8,0.9,11.8,63,5
Neo Имунеле Гранат-Вишня,2.5,1.2,12.4,70,5
Neo Имунеле Клюква-Малина,2.5,1.2,12.6,71,5
Neo Имунеле Лесные ягоды,2.5,1.2,13.1,73,5
Айран (тан) газированный,1.1,1.5,1.4,24,5
Айран (тан) из козьего молока,1.1,1.5,1.4,24,5
Айран (тан) негазированный,1.1,1.5,1.4,24,5
Айран (тан) негазированный нежирный,1.1,0.2,1.4,12,5
Айран (тан) с укропом и огурцом,1.1,1.0,1.4,19,5
Айран (тан) сильногазированный,1.1,1.0,1.4,19,5
Активиа Быстрый завтрак Клубника,4.3,2.8,20.9,127,5
Активиа Быстрый завтрак Натуральный,4.8,3.1,14.4,107,5
Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.6,3.1,16.7,110,5
Активиа Кефирная 1%,2.9,1.0,4.5,39,5
Активиа Кефирная 3%,2.9,3.0,3.6,53,5
Активиа Момент удовольствия Вишня,4.3,2.7,13.7,97,5
Активиа Момент удовольствия Земляника,4.3,2.7,12.9,97,5
Активиа Питьевая Ананас,2.8,2.0,12.2,77,5
Активиа Питьевая Бифидойогурт Классический 1.5%,3.2,1.5,4.5,44,5
Активиа Питьевая Вишня и чёрная смородина,2.6,2.0,12.8,81,5
Активиа Питьевая Злаки,2.8,2.2,12.4,81,5
Активиа Питьевая Клубника и земляника,2.8,2.2,12.4,81,5
Активиа Питьевая Малина и злаки,2.8,2.1,11.0,74,5
Активиа Питьевая Натуральная,3.2,2.4,4.5,52,5
Активиа Питьевая Чернослив,2.8,2.0,12.8,80,5
Активиа Питьевая Яблоко и злаки,2.8,2.2,13.0,83,5
Активиа Семейная Клубника,3.9,3.2,13.6,98,5
Активиа Семейная Персик,3.9,3.2,13.6,98,5
Активиа Творожная Клубника,5.0,4.5,15.5,123,5
Активиа Творожная Малина,4.2,4.5,11.4,102,5
Активиа Творожная Мюсли,5.0,4.5,15.5,123,5
Активиа Творожная Мюсли и манго,4.8,4.5,14.7,119,5
Активиа Творожная Натуральная,5.9,4.5,3.7,79,5
Активиа Творожная Отруби и злаки,4.9,4.3,13.7,113,5
Активиа Творожная Чернослив,4.7,4.2,14.4,114,5
Активиа Фреш Арбуз,2.8,1.6,12.3,74,5
Активиа Фреш Вишня,2.8,1.6,11.0,70,5
Активиа Фреш Гранат и Малина,2.8,1.6,11.0,70,5
Активиа Фреш Манго,2.8,1.6,12.0,73,5
Активиа Фреш Персик,2.8,1.6,11.0,70,5
Ацидофилин 0.1%,3.0,0.1,3.9,31,5
Ацидофилин 1%,3.0,1.0,4.0,40,5
Ацидофилин 3.2%,2.8,3.2,3.8,57,5
Ацидофилин 3.2% сладкий,2.8,3.2,8.6,77,5
Ацидофилин Останкинский 2.5%,2.8,2.5,4.2,51,5
Биойогурт Останкинский 2.5%,3.2,2.5,8.9,71,5
Биокефир Останкинский 0.1%,3.0,0.1,3.6,27,5
Бифацил,2.9,2.5,7.9,66,5
Бифитат,2.8,3.4,4.7,61,5
Варенец 2.5%,2.8,2.5,4.0,50,5
Варенец Останкинский 2.5%,2.8,2.5,4.2,51,5
Даниссимо Белый персик - белый шоколад,4.6,6.1,18.3,147,5
Даниссимо Вишня,4.7,5.4,17.5,138,5
Даниссимо Груша-ваниль,4.7,5.4,17.1,136,5
Даниссимо Клубника,4.7,5.4,17.1,136,5
Даниссимо Крем-брюле,4.6,4.6,18.8,135,5
Даниссимо Лесные ягоды,4.7,5.4,17.2,136,5
Даниссимо Малина-земляника,4.7,5.4,16.0,131,5
Даниссимо Пахлава,4.7,5.1,15.8,128,5
Даниссимо Пинаколада,4.6,5.3,16.1,131,5
Даниссимо Пломбир,4.6,4.6,13.1,112,5
Даниссимо с хрустящими шариками,4.9,7.3,16.5,151,5
Даниссимо с хрустящими шариками Ванильный,4.9,7.3,16.5,151,5
Даниссимо Черника,4.7,5.4,16.5,134,5
Даниссимо Шоколад,5.0,7.1,16.0,148,5
Даниссимо Яблочный пирог,4.7,5.4,13.6,122,5
Закваска Злагода кисломолочная без наполнителей,2.9,2.5,3.8,49,5
Запеканка творожная,17.6,4.2,14.2,168,5
Йогурт Total 0%,10.3,0.0,4.0,57,5
Йогурт Активиa Вишня,3.8,2.9,17.4,111,5
Йогурт Активиa Клубника,3.8,2.9,14.1,98,5
