name,protein,fats,carbs,calories,category
Приправа для борща,10.3,1.5,29.5,173.0,32
Приправа для гуляша,6.0,2.0,25.5,144.0,32
Приправа для картофеля,6.0,2.0,25.5,144.0,32
Приправа для курицы,8.4,1.2,29.1,161.0,32
Приправа для моркови по-корейски,8.2,1.2,28.5,158.0,32
Приправа для мяса,6.0,2.0,25.5,144.0,32
Приправа для пельменей,6.0,2.0,25.5,144.0,32
Приправа для пиццы,10.4,1.5,29.5,173.0,32
Приправа для плова,10.3,1.5,29.5,173.0,32
Приправа для риса,11.4,0.8,24.8,152.0,32
Приправа для рыбы,8.1,1.3,30.5,166.0,32
Приправа для сала,8.4,1.2,29.1,161.0,32
Приправа для салата,11.4,0.8,24.8,152.0,32
Приправа для супа,10.3,1.5,29.5,173.0,32
Приправа для ухи,8.1,1.3,30.5,166.0,32
Приправа для фарша,6.0,2.0,25.5,144.0,32
Приправа для шашлыка,8.4,1.2,29.1,161.0,32
Приправа Мивина куриная,0.5,6.7,19.6,141.0,32
Приправа овощная,10.3,1.5,29.5,173.0,32
Приправа Смесь перцев,10.9,3.2,38.3,255.0,32
Приправа универсальная,7.8,0.7,12.8,89.0,32
Псиллиум,2.9,0.1,7.3,42.0,32
Пудинг Dr.Oetker классический с ванильным вкусом,0.3,0.0,87.0,349.0,32
Разрыхлитель теста,0.1,0.0,19.6,79.0,32
Ржаное сусло,19.0,1.0,61.8,315.0,32
Розмарин,3.3,5.9,20.7,131.0,32
Розмарин сушеный,4.8,15.2,64.0,331.0,32
Розовая эссенция,0.0,0.0,0,32
Ромовая эссенция,0.0,0.0,0.4,42.0,32
Сахар ванильный,0.0,0.0,98.5,394.0,32
Сахар ванильный Dr.Oetker с натуральной ванилью,0.2,0.4,98.0,396.0,32
Сахар виноградный жидкий,0.0,0.0,65.0,260.0,32
Сахар кленовый,0.1,0.2,90.9,354.0,32
Сахар кокосовый,1.1,0.4,93.4,382.0,32
Сахар Мистраль Демерара тростниковый,0.0,0.0,98.5,394.0,32
Сахар Мистраль коричневый кристаллы,0.0,0.0,98.5,394.0,32
Сахар тростниковый,0.0,0.0,99.4,398.0,32
Сахар-песок,0.0,0.0,99.7,398.0,32
Сахар-рафинад,0.0,0.0,99.9,400.0,32
Сахар-сырец,0.0,0.0,95.3,362.0,32
Сахарная пудра,0.0,0.0,99.8,374.0,32
Сахарозаменитель Coconut Secret кокосовый нектар,0.0,0.0,86.6,366.0,32
Сахарозаменитель Fit Parad №1,0.0,0.0,0.2,1.0,32
Сахарозаменитель Fit Parad №10,0.0,0.0,0.5,2.0,32
Сахарозаменитель Fit Parad №7,0.0,0.0,0,32
Сахарозаменитель Fit Parad №8,0.0,0.0,0,32
Сахарозаменитель Milford сукралоза с инулином,0.1,0.2,57.0,268.0,32
Сахарозаменитель натуральный Эритрит со стевией,0.0,0.0,0,32
Сахарозаменитель Эритрол,0.1,0.2,4.0,20.0,32
Сироп агавы Sunny Via,0.0,0.5,76.0,310.0,32
Сироп вишневый,0.3,0.1,64.0,256.0,32
Сироп Гренадин,0.0,0.0,66.9,268.0,32
Сироп кленовый,0.0,0.1,67.4,260.0,32
Сироп клубничный,0.2,0.0,39.5,154.0,32
Сироп сахарный,0.2,0.0,70.5,285.0,32
Сироп топинамбура Тоба,0.0,0.0,69.5,267.0,32
Сироп Черное море Лайт вкус Лесные ягоды,0.0,0.0,4.0,16.0,32
Смесь для творожного пирога и запеканки Творопыш Dr.Oetker,0.5,0.0,87.8,353.0,32
Смесь сиамская (тайская),10.9,3.2,38.3,255.0,32
Смесь хлебопекарская Зернопан,24.3,20.1,38.4,443.0,32
Смилакс (Сассапариль),0.0,0.0,0,32
Сода пищевая,0.0,0.0,0,32
Соевая спаржа (Фучжу),42.0,19.0,12.0,387.0,32
Солод ржаной,9.8,1.2,66.4,316.0,32
Солодка (корень),0.0,0.1,93.5,375.0,32
Солодка (лакрица),0.0,0.1,93.0,375.0,32
Соль,0.0,0.0,0,32
Соль гималайская розовая,0.1,0.1,0.7,5.0,32
Соль йодированная,0.0,0.0,0,32
Соль морская,0.0,0.0,0,32
Соль сванская,0.0,0.0,0,32
Соль чесночная,4.3,0.2,1.9,27.0,32
Соус Astoria горчичный,0.0,20.0,0.0,210.0,32
Соус Astoria Карри с ананасом,0.0,30.0,9.6,310.0,32
Соус Dolmio томатный с грибами,1.6,0.2,7.1,38.0,32
Соус Dolmio томатный традиционный,1.5,1.3,7.5,48.0,32
Соус Kuhne Американский цезарь,2.8,21.5,4.7,241.0,32
Соус Mutti томатный для пиццы,1.3,0.3,6.0,32.0,32
Соус айоли,2.0,86.5,0.8,791.0,32
Соус апельсиновый,0.6,4.6,3.1,55.0,32
