name,protein,fats,carb,calories,category
Морской еж,13.8,4.3,2.5,84,10
Морской желудь балянус,17.5,0.1,0.0,80,10
Морской петух,18.0,2.7,0.0,161,10
Муксун,17.5,2.0,0.0,88,10
Мясо криля,17.5,1.8,2.8,97,10
Навага,16.1,1.0,0.0,73,10
Навага беломорская,19.2,1.6,0.0,91,10
Навага дальневосточная,15.1,0.9,0.0,68,10
Налим (печень),4.2,65.7,1.2,613,10
Налим отварной,21.4,0.7,0.0,92,10
Налим свежий,18.8,0.6,0.0,80,10
Нельма,22.3,2.8,0.0,115,10
Нерка,20.3,8.4,0.0,157,10
Нототения,15.7,9.5,0.0,148,10
Окунь морской горячего копчения,23.5,9.0,0.0,175,10
Окунь морской отварной,19.9,3.6,0.0,112,10
Окунь морской свежий,15.3,1.5,0.0,79,10
Окунь морской тушеный,10.9,6.6,4.2,120,10
Окунь речной жареный,20.6,9.1,4.0,180,10
Окунь речной запечённый,6.8,4.7,8.4,103,10
Окунь речной припущенный,19.5,3.5,0.0,109,10
Окунь речной свежий,18.5,0.9,0.0,82,10
Окунь речной фаршированный,14.9,6.1,3.9,130,10
Омуль свежий,17.5,2,88,10
Осётр жареный,16.0,17.4,13.2,273,10
Осётр отварной,17.7,12,179,10
Осётр припущенный,17.8,11.9,0.0,179,10
Осётр свежий,16.4,10.9,0.0,163,10
Осьминог,18.2,0.0,0.0,73,10
Осьминог консервированный,21.0,5.2,4.0,135,10
Осьминог маринованный,18.2,0.0,0.0,73,10
Осьминог мини,14.9,1.0,2.2,82,10
Палтус отварной,14.0,17.8,0.0,216,10
Палтус свежий,18.9,3.0,0.0,102,10
Пангасиус,15.0,3,89,10
Пеламида,22.4,14.2,0.0,217,10
Пеленгас,18.0,5.0,0.0,84,10
Пикша,17.2,0.2,0.0,71,10
Плотва свежая,17.5,2.0,0.0,88,10
Путассу,16.1,0,72,10
Раки морские вареные,20.5,0.7,0.3,90,10
Раки морские свежие,18.8,1.3,0.5,89,10
Раки речные вареные,20.3,1.3,1.0,97,10
Раки речные свежие,15.5,1.0,1.2,76,10
Рапана,16.7,1.1,0.0,77,10
Ротан,17.5,2.0,0.0,88,10
Рыба вяленая,17.5,4.6,0.0,139,10
Рыба копченая,26.8,9.9,0.0,196,10
Рыба маринованная,1.7,3.0,11.4,82,10
Рыба соленая,19.2,2.0,0.0,190,10
Рыба сушеная,52.4,5.8,3.3,275,10
Рыба-попугай,18.7,24.0,0.0,270,10
Рыба-сабля,19.3,3.2,0.0,106,10
Рыбец,17.5,2.0,0.0,88,10
Рыбная соломка,46.0,3.0,5.0,231,10
Рыбная строганина,34.3,3.9,0.5,172,10
Рыбное филе,15.2,3.5,0.0,91,10
Рыбные бургеры,12.0,0.8,19.0,131,10
Рыбные консервы,17.5,2.0,0.0,88,10
Рыбные палочки замороженные,9.5,8.7,22.4,206,10
Рыбные полуфабрикаты,12.5,6.7,14.7,209,10
Рыбный балык,20.4,12.5,0.0,194,10
Рыбный рулет,11.8,7.5,9.7,139,10
Рыбный стейк,12.8,6.0,12.0,155,10
Рыбный фарш,16.0,0.6,0.0,69,10
Ряпушка,17.5,2.0,0.0,88,10
Сазан азовский,18.4,5,121,10
Сазан каспийский,18.2,2,97,10
Сайда,19.4,0.9,0.0,92,10
Сайра бланшированная в масле,18.3,23,283,10
Сайра консервированная,17.5,2.0,0.0,88,10
Сайра свежая,18.6,12,182,10
Салака копчёная,25.4,5,152,10
Сардина атлантическая с добавлением масла,19.0,18,238,10
Сардина в масле,24.1,13,221,10
Сардина в томатном соусе,17.0,9.9,1.4,162,10
Сардина отварная,20.1,10,178,10
Сардина свежая,20.6,9,169,10
Севрюга в томатном соусе,16.1,11.5,2.8,179,10
Севрюга свежая,17.0,11,160,10
