name,protein,fats,carbs,calories,category
Штурвал Кольца кальмара солёные,45.0,0.5,3.2,197,11
Штурвал Корюшка солёно-сушёная,28.0,3.0,1.5,145,11
Штурвал Креветки огненные солёно-сушёные,42.0,0.5,2.0,181,11
Штурвал Креветки очищенные,42.0,0.5,2.0,181,11
Штурвал Окунёк огненный,50.9,2.3,6.2,249,11
Штурвал Окунёк солёно-сушёный,50.9,2.3,6.2,249,11
Штурвал Осьминог солёно-сушёный,31.0,0.5,2.0,137,11
Штурвал Солнечный окунь копчёный,37.9,1.2,3.0,180,11
Штурвал Ставридка серебристая,30.7,5.0,5.0,131,11
Штурвал Угорь солёно-сушёный,38.0,2.5,3.2,187,11
Штурвал Шанхайский полосатик солёно-сушёный,54.2,5.5,3.0,261,11
Штурвал Янтарная рыбка,20.0,1.8,0.5,98,11
Штурвал Янтарная рыбка огненная,20.0,1.8,0.5,98,11
