name,protein,fats,carbs,calories,categories
Борщ 4 сезона Московский,3.5,0.1,8.9,51,25
Борщ Hortex украинский,1.4,0.2,4.8,31,25
Борщ из свежей капусты с мясом,4.4,3.6,5.5,63,25
Борщ летний холодный,1.1,2.1,6.4,49,25
Борщ сибирский,1.9,1.5,6.8,48,25
Борщ Сибирский с фрикадельками,5.8,5.3,5.0,82,25
Борщ украинский,1.1,2.2,6.7,49,25
Бульон говяжий,0.6,0.2,0.0,4,25
Бульон грибной,0.5,0.1,0.0,3,25
Бульон куриный,2.0,0.5,0.3,15,25
Бульон куриный крепкий домашний,2.5,1.2,3.5,36,25
Бульон куриный постный,0.1,0.0,0.0,1,25
Бульон овощной,0.2,0.1,0.9,5,25
Бульон рыбный,0.4,0.0,0.0,2,25
Окрошка мясная с квасом,2.1,1.7,6.3,52,25
Окрошка на кефире,3.1,1.9,4.3,47,25
Рассольник,1.4,2.0,5.0,42,25
Свекольник,0.5,2.0,4.2,36,25
Солянка Домашняя,3.5,3.5,4.3,64,25
Солянка овоще-грибная из свежей капусты,3.6,7.0,7.1,106,25
Солянка овощная из квашеной капусты,3.3,10.5,6.6,134,25
Солянка рыбная,2.4,1.2,1.2,25,25
Солянка сборная мясная,5.2,4.6,1.7,69,25
Суп 4 сезона из цветной капусты,0.1,0.1,8.4,38,25
Суп 4 сезона щавелевый,1.7,0.1,11.7,52,25
Суп Asian Fusion грибной с яйцом,31.0,12.0,34.0,368,25
Суп Hortex грибной с подберезовиками,2.7,0.3,8.2,52,25
Суп Hortex зимний,2.1,0.3,3.5,32,25
Суп Hortex из цветной капусты с картофелем и укропом,1.9,0.2,5.4,36,25
Суп Hortex итальянский,1.8,0.3,4.1,32,25
Суп Hortex осенний,2.5,0.3,3.7,34,25
Суп Hortex президентский,1.3,0.2,3.4,25,25
Суп Hortex рассольник,1.4,0.1,7.3,38,25
Суп Hortex с шампиньонами,1.9,0.3,5.6,37,25
Суп Hortex щавелевый,1.3,0.4,7.9,45,25
Суп Yelli из чечевицы Масурдал,22.0,1.5,49.0,300,25
Суп Азиатский из фасоли,21.0,2.0,44.0,280,25
Суп гороховый,4.4,2.4,8.9,66,25
Суп грибной,1.9,2.4,5.7,50,25
Суп Домашнее Бистро гороховый с копченостями,7.0,12.0,40.0,266,25
Суп Домашнее Бистро грибной с белыми грибами,4.0,10.0,42.0,274,25
Суп Домашнее Бистро куриный с вермишелью,7.0,8.0,40.0,260,25
Суп Домашнее Бистро рассольник с говядиной,1.5,7.0,11.0,109,25
Суп из зелёного горошка,3.2,1.2,11.2,56,25
Суп из лука-порея с макаронами,1.4,1.1,6.6,39,25
Суп из помидоров,1.3,1.8,1.9,28,25
Суп из помидоров с макаронами,1.5,1.8,3.3,35,25
Суп из помидоров с рисом,1.5,1.8,3.9,37,25
Суп из сельдерея,1.6,1.8,4.5,37,25
Суп из стручковой фасоли,2.2,0.6,8.9,43,25
Суп из цветной капусты (общепит),1.6,0.5,4.9,28,25
Суп из шпината с картофелем,2.2,0.9,6.6,40,25
Суп Итальянский с мелкой пастой,18.0,1.5,55.0,310,25
Суп картофельный,1.4,1.1,6.6,39,25
Суп картофельный с крупой,1.3,1.2,9.5,54,25
Суп картофельный с макаронными изделиями,1.3,1.0,8.4,48,25
Суп лимонный с рисом,1.4,2.2,8.7,58,25
Суп луковый,1.4,2.7,4.0,44,25
Суп молочный с макаронами,2.2,1.9,7.9,58,25
Суп молочный с рисом,1.8,1.9,7.3,54,25
Суп овощной,1.7,1.8,6.2,43,25
Суп овощной с фасолью,1.6,2.1,5.2,46,25
Суп перловый с грибами,1.6,1.2,6.4,43,25
Суп пшенный с мясом,2.9,2.2,6.4,57,25
Суп рисовый с мясом,0.7,1.1,5.2,34,25
Суп с бобовыми,3.4,2.2,1.4,66,25
Суп с рисом Asian Fusion грибной со шпинатом и яйцом,15.0,2.0,58.0,310,25
Суп Турецкий с Булгуром,19.0,1.5,54.0,310,25
Суп фасолевый,4.0,1.8,10.0,62,25
Суп фруктовый из яблок,0.1,0.1,11.8,42,25
Суп харчо с мясом,3.1,4.5,5.5,75,25
Суп щавелевый,1.6,2.5,2.9,40,25
Суп-лапша Asian Fusion из морепродуктов с креветками,10.0,17.0,62.0,440,25
Суп-пюре Yelli из гороха с карри,21.0,2.0,50.0,310,25
Суп-пюре из рисовой крупы,1.4,1.3,7.7,48,25
Уха,3.4,1.0,5.5,46,25
Щи из квашеной капусты с картофелем,0.6,2.1,2.7,32,25
Щи из свежей капусты (готовые),0.9,2.1,3.1,31,25
Щи из свежей капусты с картофелем,1.0,3.8,2.1,38,25
Щи суточные,0.6,2.8,1.5,34,25
