name,protein,fats,carbs,calories,category
Протеин BSN Syntha-6,50.0,13.6,31.8,455,31
Протеин BSN Syntha-6 Isolate,65.8,3.9,18.4,368,31
Протеин CytoSport Complete Whey,72.7,6.8,9.1,409,31
Протеин CytoSport Monster Milk,64.1,11.5,21.8,449,31
Протеин CytoSport Muscle Milk,45.7,17.1,22.9,429,31
Протеин CytoSport Muscle Milk Light,50.0,12.0,24.0,400,31
Протеин Cytosport Whey Isolate,83.3,0.0,10.0,333,31
Протеин Dymatize All Natural Elite Whey Protein Isolate,72.0,6.0,12.0,375,31
Протеин Dymatize Elite Casein,75.0,1.6,12.5,344,31
Протеин Dymatize Elite Egg Protein,78.7,0.0,9.8,361,31
Протеин Dymatize Elite Fusion 7,52.3,13.6,25.0,432,31
Протеин Dymatize Elite Gourmet,63.0,4.5,15.0,360,31
Протеин Dymatize Elite Primal,96.4,0.0,1.0,393,31
Протеин Dymatize Elite Whey Protein Isolate,74.1,4.6,6.2,352,31
Протеин Dymatize Elite XT,63.0,4.5,18.0,375,31
Протеин Dymatize ISO-100,89.3,0.0,0.0,379,31
Протеин Fit Foods Mutant Whey,61.1,8.3,13.9,389,31
Протеин Gaspari IntraPro,69.4,9.7,13.9,431,31
Протеин Gaspari MyoFusion,61.5,5.1,23.1,404,31
Протеин IronMaxx 100% Whey Protein,77.3,6.2,6.3,395,31
Протеин IronMaxx Musclin V.2.0,84.8,2.5,1.9,373,31
Протеин Lactomin 80 Whey Protein Concentrate,80.0,5.0,5.0,370,31
Протеин Max Power Protein 100,70.0,4.0,9.6,350,31
Протеин Maxler 100% Gold Whey,75.7,6.0,15.1,394,31
Протеин Multipower 100% Whey Protein,75.0,5.6,10.0,392,31
Протеин Multipower Pure Whey Isolate 100,87.0,1.3,2.2,370,31
Протеин Multipower Whey Protein Iso Complex,75.0,1.7,15.0,373,31
Протеин Multipower Xplode,55.0,2.5,34.0,380,31
Протеин Muscle Rush Whey,80.0,5.7,14.3,429,31
Протеин Muscletech 100% Premium Whey Protein Plus,62.0,3.0,28.0,375,31
Протеин Muscletech Nitro Tech Hardcore Pro,75.8,4.5,9.1,394,31
Протеин Muscletech Nitro Tech Performance,83.0,4.0,3.0,388,31
Протеин MyProtein Impact Whey Isolate,86.0,0.3,6.6,374,31
Протеин MyProtein Impact Whey Protein,82.0,7.5,4.0,412,31
Протеин Optimum 100% Casein Gold Standard,75.0,1.6,9.4,375,31
Протеин Optimum 100% Egg Gold Standard,85.7,1.8,7.1,393,31
Протеин Optimum 100% Soy Protein,80.6,4.8,6.5,387,31
Протеин Optimum 100% Whey Gold Standard,75.0,3.8,12.5,375,31
Протеин Optimum 100% Whey Gold Standard Natural,75.0,3.8,12.5,375,31
Протеин Optimum Classic Whey,72.4,5.2,13.8,414,31
Протеин Optimum Performance Whey,56.4,10.3,23.1,410,31
Протеин Optimum Platinum Hydro Builder,57.7,4.8,15.4,346,31
Протеин Optimum Platinum Hydro Whey,76.9,2.6,5.1,359,31
Протеин Optimum Pro Complex,81.1,1.4,6.8,365,31
Протеин Performance Pure Whey,77.2,6.3,7.4,395,31
Протеин Performance Superior Protein Complex,80.0,2.3,4.8,360,31
Протеин PureProtein Multi Protein,70.0,5.0,22.0,412,31
Протеин RLine Whey,65.0,8.3,14.6,393,31
Протеин San Meta Force 5.0,78.0,6.0,6.0,390,31
Протеин Syntrax Essence,82.1,0.0,0.0,321,31
Протеин Syntrax Matrix 2.0,74.2,6.5,9.7,387,31
Протеин Syntrax Nectar,85.2,0.0,0.0,333,31
Протеин Syntrax Nectar Naturals,85.2,0.0,0.0,333,31
Протеин Syntrax Nectar Sweets,85.7,0.0,0.0,357,31
Протеин Twinlab 100% Whey Protein Fuel,65.8,9.2,13.1,398,31
Протеин Ultimate ISO-Cool,88.5,0.0,0.0,354,31
Протеин Ultimate ISO-Sensation 93,93.8,0.0,3.1,406,31
Протеин Ultimate Isopreme Pure Bioactive Whey Isolate,85.7,2.9,5.7,383,31
Протеин Ultimate Prostar 100% Whey Protein,81.0,5.3,7.0,401,31
Протеин Ultimate Prostar Whey Gourmet Protein,83.3,3.3,6.7,400,31
