name,protein,fats,carb,calories,category
Свекла варёная,1.8,0.0,10.8,49,8
Свекла жёлтая,1.5,0.1,9.1,50,8
Свекла квашеная,1.3,0.0,6.0,32,8
Свекла консервированная,0.9,0.1,5.4,31,8
Свекла сушеная,9.0,0.6,56.6,254,8
Свекла тушеная,2.7,5.5,12.2,106,8
Свекольная ботва,2.1,0.5,5.5,17,8
Сельдерей,0.9,0.1,2.1,12,8
Сельдерей (корень),1.3,0.3,6.5,32,8
Сельдерей (корень) сушеный,7.8,2.0,36.6,186,8
Скорцонера,1.0,1.0,1.0,17,8
Соя,34.9,17.3,17.3,381,8
Соя (ростки),13.1,6.7,9.6,141,8
Соя (сухие семена),34.9,17.3,26.5,332,8
Спаржа,1.9,0.1,3.1,20,8
Спаржа Бондюэль зелёная целая,0.6,1.3,2.6,24,8
Спаржа маринованная,1.8,0.2,1.5,15,8
Стевия (Медовая трава),0.0,0.0,0.1,18,8
Стрелолист обыкновенный (Болотник),5.3,0.3,20.2,99,8
Томат (помидор),1.1,0.2,3.7,20,8
Томат вяленый,14.1,3.0,43.5,258,8
Томат консервированный,1.1,0.1,3.5,20,8
Томат маринованный,1.7,0.2,1.8,15,8
Томат солёный,1.1,0.1,1.6,13,8
Томат черри,0.8,0.1,2.8,15,8
Томаты 4 сезона нарезанные,1.1,0.2,3.9,22,8
Томаты Parmalat Pomi протертые,1.3,0.2,4.0,26,8
Томаты в собственном соку,1.2,0.5,3.6,24,8
Топинамбур,2.1,0.1,12.8,61,8
Турнепс,1.0,0.0,6.0,28,8
Тыква,1.3,0.3,7.7,28,8
Тыква 4 сезона нарезанная,1.3,0.3,7.7,28,8
Тыква баттернат,1.0,0.1,9.7,45,8
Тыква жареная,1.4,5.5,5.2,76,8
Тыква маринованная,0.6,0.1,8.9,42,8
Тыква мускатная,1.0,0.1,9.7,45,8
Тысячелистник,0.4,0.0,5.0,23,8
Укроп,2.5,0.5,6.3,38,8
Фасоль (ростки),1.5,0.1,1.8,14,8
Фасоль 4 сезона зелёная стручковая нарезанная,3.1,0.3,3.1,28,8
Фасоль 4 сезона золотистая стручковая нарезанная,3.1,0.3,3.1,28,8
Фасоль Heinz в томатном соусе,4.9,0.2,12.9,73,8
Фасоль Hortex стручковая резаная,2.2,0.2,3.3,31,8
Фасоль Агро-Альянс Black Eye (Черный глаз),23.0,1.0,60.0,340,8
Фасоль Агро-Альянс белая,21.4,1.8,61.7,349,8
Фасоль Агро-Альянс красная Red Kidney,21.4,1.8,61.7,349,8
Фасоль белая,7.0,0.5,16.9,102,8
Фасоль Бондюэль белая в томатном соусе,5.4,0.3,20.3,106,8
Фасоль Бондюэль белая консервированная,6.7,0.3,17.4,99,8
Фасоль Бондюэль белая Пикантная в томатном соусе,5.5,3.0,19.0,125,8
Фасоль Бондюэль зелёная резаная,1.4,0.2,4.4,25,8
Фасоль Бондюэль зелёная стручковая замороженная,1.9,0.2,7.6,28,8
Фасоль Бондюэль коричневая со сладким перцем в соусе Кайен,2.6,0.4,7.6,44,8
Фасоль Бондюэль красная в соусе Чили,5.5,3.0,19.0,112,8
Фасоль Бондюэль красная консервированная,6.7,0.3,17.4,99,8
Фасоль Бондюэль красная с кукурузой в мексиканском соусе,4.6,3.1,18.3,120,8
Фасоль варёная,7.8,0.5,21.5,123,8
Фасоль красная,8.4,0.3,13.7,93,8
Фасоль красная консервированная,6.7,0.3,17.4,99,8
Фасоль лимская,6.8,0.9,15.3,113,8
Фасоль пурпурная Кидни Увелка,21.0,2.0,47.0,290,8
Фасоль спаржевая,2.8,0.4,8.4,47,8
Фасоль стручковая,2.0,0.2,3.6,24,8
Фасоль стручковая консервированная,1.2,0.1,2.4,16,8
Фасоль сухая,21.1,1.2,41.4,265,8
Фасоль чёрная,8.9,0.5,23.7,132,8
Фенхель,1.2,0.2,7.3,31,8
Физалис,1.0,1.0,3.9,32,8
Хикама,0.7,0.1,8.8,38,8
Хрен,3.2,0.4,10.5,56,8
Цуккини,1.5,0.2,3.0,16,8
Цуккини варёный,0.8,0.1,2.5,13,8
Чайот (Мексиканский огурец),0.8,0.1,2.8,19,8
Черемша,2.4,0.1,6.5,35,8
Чеснок,6.5,0.5,29.9,143,8
Чеснок (стрелки маринованные),1.0,0.0,3.5,24,8
Чеснок (стрелки),1.3,0.1,3.4,24,8
Чеснок маринованный,1.8,0.1,9.1,42,8
Чеснок молодой зелёный,6.0,0.0,5.0,40,8
Чеснок молодой маринованный,1.8,0.0,9.0,42,8
