name,protein,fats,carbs,calories
Овощная смесь 4 сезона Овощи по-деревенски,5.4,1.7,26.1,141
Овощная смесь 4 сезона Овощи с гречкой,3.5,0.8,16.8,84
Овощная смесь 4 сезона Овощное рагу,0.5,0.1,3.8,38
Овощная смесь 4 сезона Паприкаш,3.5,0.1,8.9,51
Овощная смесь 4 сезона Паста с лесными грибами,0.1,0.9,16.0,84
Овощная смесь 4 сезона Сибирская,2.6,0.5,10.7,58
Овощная смесь 4 сезона Скандинавская,2.8,0.3,5.9,38
Овощная смесь 4 сезона Столичный салат,1.8,0.2,12.1,57
Овощная смесь Hortex mexico,3.6,0.4,7.5,56
Овощная смесь Hortex vip,1.9,0.4,5.4,39
Овощная смесь Hortex брокколи,1.9,0.3,3.1,28
Овощная смесь Hortex брокколи и цветная,2.5,0.3,2.4,27
Овощная смесь Hortex весенние овощи,2.8,0.3,3.9,37
Овощная смесь Hortex восточное блюдо,1.6,0.2,3.2,27
Овощная смесь Hortex гавайская,3.7,0.6,18.5,100
Овощная смесь Hortex картофель по-деревенски,1.3,0.3,5.5,34
Овощная смесь Hortex кус-кус,2.1,0.2,4.6,34
Овощная смесь Hortex летние овощи,2.6,0.2,4.2,36
Овощная смесь Hortex лечо,1.1,0.3,3.0,22
Овощная смесь Hortex овощи по-деревенски,1.8,0.3,7.3,44
Овощная смесь Hortex овощи по-домашнему,1.3,0.3,3.9,28
Овощная смесь Hortex паприкаш,1.3,0.2,2.9,22
Овощная смесь Hortex рагу,1.3,0.2,2.3,19
Овощная смесь Hortex рататуй,1.1,0.2,2.6,19
Овощная смесь Бондюэль Весенняя,2.6,0.5,4.5,35
Овощная смесь Бондюэль для жарки Гавайская,3.0,0.5,22.7,91
Овощная смесь Бондюэль для жарки Индонезийская,1.8,0.0,7.8,38
Овощная смесь Бондюэль для жарки Китайская,2.5,0.4,11.7,61
Овощная смесь Бондюэль для жарки По-деревенски,1.7,4.6,4.4,65
Овощная смесь Бондюэль для жарки Полевая,2.0,0.4,3.3,25
Овощная смесь Бондюэль для жарки с рисом и шампиньонами,2.5,0.3,14.7,58
Овощная смесь Бондюэль Китайская,1.3,0.2,3.2,19
Овощная смесь Бондюэль Летняя в сливочном соусе,2.0,2.8,9.3,70
Овощная смесь Бондюэль Маседуан,2.2,0.3,7.9,43
Овощная смесь Бондюэль Мексиканская,3.6,0.7,12.7,72
Овощная смесь Бондюэль Минестрон,1.9,0.7,11.8,51
Овощная смесь Бондюэль Царская,1.4,0.3,5.1,20
Овощная смесь Свой урожай Американская,2.5,0.2,8.4,46
Овощное рагу 4 сезона,0.5,0.1,3.8,38
Овсяная каша Hipp с абрикосами и яблоками,0.5,0.2,13.0,59
Овсяная каша Myllyn Paras,14.0,7.5,56.0,350
Овсяная каша Myllyn Paras вкус сливок с клубникой,10.2,16.6,53.9,406
Овсяная каша Myllyn Paras вкус сливок с малиной,10.3,14.9,54.7,394
Овсяная каша Myllyn Paras вкус сливок с черникой,10.7,15.0,58.0,410
Овсяная каша Myllyn Paras с дыней,10.8,5.8,62.8,347
Овсяная каша Myllyn Paras с дыней и сахаром,11.5,7.7,61.9,362
Овсяная каша Myllyn Paras с клубникой без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с клубникой и сахаром,11.9,7.9,60.8,362
Овсяная каша Myllyn Paras с клюквой без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с лесными ягодами и сахаром,11.6,7.7,61.8,363
Овсяная каша Myllyn Paras с малиной и сахаром,11.9,7.9,60.8,362
Овсяная каша Myllyn Paras с отрубями, вишней и сливой,15.5,7.2,50.6,333
Овсяная каша Myllyn Paras с отрубями, яблоком и чёрной смородиной,15.2,7.0,51.1,333
Овсяная каша Myllyn Paras с персиком без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с персиком и сахаром,11.6,7.6,60.7,357
Овсяная каша Myllyn Paras с тропическими фруктами,11.1,5.8,62.8,348
Овсяная каша Myllyn Paras с черникой без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с черникой и сахаром,11.6,7.7,61.7,362
Овсяная каша Myllyn Paras с шоколадом и апельсином,10.5,8.0,62.2,363
Овсяная каша Myllyn Paras с яблоком и брусникой,10.4,5.5,63.8,346
Овсяная каша Myllyn Paras Тропик с сахаром,11.7,7.8,61.8,364
Овсяная каша Nestle безмолочная,10.0,6.0,72.0,382
Овсяная каша Nestle молочная с грушей и бананом,14.0,10.0,65.0,406
Овсяная каша Nestle молочная с яблоком и абрикосом,14.0,10.0,65.0,406
Овсяная каша Малютка молочная с фруктами,12.7,14.0,65.8,440
Овсяная каша на воде,3.0,1.7,15.0,88
Овсяная каша на молоке,3.2,4.1,14.2,102
Овсяная каша ФрутоНяня безмолочная с яблоками и ягодами,1.2,0.0,15.0,64
Овсяная кашка Heinz с молоком и бананом,12.0,8.7,69.1,403
Овсяная кашка ФрутоНяня молочная жидкая с бананом,2.1,2.0,9.2,62
Овсяная крупа,12.3,6.1,59.5,342
Овсяно-Манная крупа Myllyn Paras,14.5,5.1,69.1,345
Овсяно-пшеничная каша Малютка безмолочная с яблоком,9.2,3.6,80.3,390
Овсяные + Рисовые хлопья Myllyn Paras,10.3,4.0,68.0,346
Овсяные отруби,18.0,7.7,45.3,320
Овсяные отруби Dr.Dias очищающие,10.8,2.6,16.6,129
Овсяные отруби Myllyn Paras,18.0,7.7,45.3,320
Овсяные отруби Nordic,18.0,8.5,43.0,360
Овсяные отруби Мистраль,17.8,6.9,65.8,346
Овсяные отруби Ого!,12.5,4.5,62.0,356
