"name","calories"
"Выкапывание ям","527"
"Вытирание пыли","201"
"Глажка белья","174"
"Мойка и полировка автомобиля","504"
"Мытье окон","269"
"Мытье полов","334"
"Мытье посуды","176"
"Обрезка деревьев и кустарника","504"
"Перевозка груза на тачке","576"
"Перемещение мебели","636"
"Перенос коробок","739"
"Подметание полов и ковров","307"
"Покупка предметов для дома","174"
"Покупка продуктов","174"
"Поливка домашних растений","201"
"Посадка в огороде","420"
"Посадка деревьев или кустов","474"
"Приготовление еды сидя","133"
"Приготовление еды стоя","201"
"Работа в огороде","474"
"Работа граблями","420"
"Работа ручной косой","726"
"Работа с газонокосилкой","474"
"Развешивание одежды","174"
"Разгрузка пиломатериалов","576"
"Распаковка коробок","371"
"Рубка дров","636"
"Ручная уборка снега","636"
"Складывание одежды","131"
"Складывание переноска дров","527"
"Стирка вручную","289"
"Стояние в очереди","131"
"Уборка в квартире","269"
"Уборка газона","480"
"Уборка листьев","420"
"Уборка снега","726"
"Упаковка коробок","201"
"Акваэробика","431"
"Аэробика интенсивная","739"
"Аэробика лёгкая","581"
"Бадминтон","474"
"Баскетбол","684"
"Бег 10 км/ч","1056"
"Бег 15 км/ч","1530"
"Бег 8 км/ч","846"
"Бег на лыжах","846"
"Бег на природе","949"
"Бег по лестнице вверх","2034"
"Бег по пересеченной местности","1159"
"Бег трусцой","870"
"Бильярд","263"
"Бокс","949"
"Боксирование с грушей","1596"
"Борьба","636"
"Быстрая ходьба","636"
"Быстрое плавание","1056"
"Велосипед 10 км/ч","726"
"Велосипед 20 км/ч","846"
"Велосипед 25 км/ч","1056"
"Велосипед 30 км/ч","1266"
"Велосипед 35+ км/ч","1740"
"Велотренажер (высокая активность)","1110"
"Велотренажер (средняя активность)","739"
"Велотренажер (низкая активность)","289"
"Верховая езда(галоп)","1014"
"Верховая езда(рысь)","799"
"Верховая езда(шаг)","229"
"Водное поло","1056"
"Водные лыжи","636"
"Волейбол","319"
"Восточные гимнастики","431"
"Восточные единоборства","1056"
"Гандбол","1266"
"Гребля на байдарке","527"
"Гребной тренажер","739"
"Дартс","216"
"Занятия со скакалкой","1309"
"Катание на лыжах","870"
"Катание на роликах","739"
"Катание на скейтборде","527"
"Катание с гор на лыжах","636"
"Кегли","319"
"Керлинг","420"
"Конькобежный спорт","2034"
"Лыжный тренажер","1001"
"Настольный теннис","431"
"Обруч","443"
"Ориентирование на местности","949"
"Пеший поход","804"
"Плавание (баттерфляй)","1164"
"Плавание (брасс)","1056"
"Плавание (кроль)","1164"
"Плавание (общее)","636"
"Плавание на спине","846"
"Плавание с маской и трубкой","527"
"Пляжный волейбол","846"
"Подводное плавание","870"
"Подъем тяжестей","319"
"Работа тренером по аэробике","726"
"Растяжка стрейчинг","216"
"Ритмическая гимнастика (легкая)","474"
"Ритмическая гимнастика (тяжелая)","846"
"Скандинавская ходьба","571"
"Спортивная гимнастика","431"
"Спортивная ходьба","684"
"Степ-аэробика интенсивная","1056"
"Степ-аэробика легкая","739"
"Стрельба из лука","329"
"Стрельба из пистолета","216"
"Теннис (большой)","739"
"Тренажеры типа Наездник","527"
"Фехтование","636"
"Фрисби","289"
"Футбол","739"
"Хатха-йога","216"
"Ходьба 3 км/ч","210"
"Ходьба 4 км/ч","280"
"Ходьба 5 км/ч","350"
"Ходьба 6 км/ч","420"
"Ходьба 7 км/ч","474"
"Ходьба 8 км/ч","527"
"Ходьба вверх по лестнице","1909"
"Ходьба вниз по лестнице","289"
"Ходьба на природе","636"
"Хоккей","846"
"Хоккей на траве","1014"
"Работа актером в театре","319"
"Работа барменом","263"
"Работа в офисе","124"
"Работа в пекарне","431"
"Работа за компьютером","144"
"Работа клерком","186"
"Работа массажистом","420"
"Работа монтажником","649"
"Работа на погрузчике","216"
"Работа на ферме","1014"
"Работа плотником","371"
"Работа портным","216"
"Работа преподавателем","143"
"Работа санитаркой","216"
"Работа учителем физкультуры","799"
"Ремонт обуви","216"
"Сбор фруктов","509"
"Уборка мусора","360"
"Уборка помещений","360"
"Уход за лошадьми","636"
"Учеба в классе","114"
"Активные игры с детьми","536"
"Вязание","66"
