name,protein,fats,carbs,calories,category
Абсент,0.0,0.0,8.8,171,21
Бренди,0.0,0.0,0.5,225,21
Бурбон,0.0,0.0,0.4,235,21
Вермут,0.0,0.0,15.9,158,21
Вермут Cinzano Bianco белый,0.0,0.0,18.0,155,21
Вермут Cinzano Rose розовый,0.0,0.0,14.5,141,21
Вермут Martini,0.0,0.0,17.0,145,21
Вермут Martini Bianco белый,0.0,0.0,17.0,145,21
Вермут Martini Extra Dry сухой,0.0,0.0,2.5,110,21
Вермут Martini Rose розовый,0.0,0.0,16.0,140,21
Вермут Martini Rosso красный,0.0,0.0,15.0,138,21
Вермут Perlino Bianco белый,0.0,0.0,14.0,139,21
Вермут Perlino Rosso красный,0.0,0.0,14.0,139,21
Вино Asti Mondoro белое полусладкое игристое,0.0,0.0,9.0,78,21
Вино Riunite D'Oro белое полусладкое игристое,0.0,0.0,6.0,69,21
Вино Riunite Lambrusco Emilia красное полусладкое игристое,0.0,0.0,6.0,69,21
Вино Riunite Lambrusco Rose розовое полусладкое игристое,0.0,0.0,6.0,69,21
Вино белое десертное 16%,0.5,0.0,16.0,153,21
Вино белое Мускат,0.0,0.0,5.0,82,21
Вино белое Рислинг,0.0,0.0,4.0,80,21
Вино белое Совиньон,0.0,0.0,2.0,81,21
Вино белое столовое 11%,0.2,0.0,0.2,65,21
Вино белое сухое,0.1,0.0,0.6,66,21
Вино белое Херес,0.0,0.0,3.0,126,21
Вино красное Божоле Нуво,2.5,0.0,0.0,95,21
Вино красное Бургундское,0.0,0.0,4.0,86,21
Вино красное десертное,0.5,0.0,20.0,172,21
Вино красное Кагор,0.0,0.0,16.0,147,21
Вино красное Киндзмараули,0.5,0.0,20.0,172,21
Вино красное Кьянти,0.1,0.0,2.7,84,21
Вино красное столовое 12%,0.3,0.0,0.2,71,21
Вино красное сухое,0.2,0.0,0.3,68,21
Вино красное Хванчкара,0.1,0.0,3.0,83,21
Вино медовое,0.0,0.0,21.3,71,21
Виски,0.0,0.0,0.4,235,21
Водка,0.0,0.0,0.1,235,21
Водка анисовая,0.1,0.1,0.5,225,21
